code,product_name,brands,generic_name,categories_tags,ingredients_text,silver,gpt4omini,gptoss,llama3b,status,enum_choices,your_arbitrage,note,auto_arbitrage,auto_reason
0016000169357,Blueberry Cheerios,"General Mills,Cheerios",sweetened whole grain oat cereal.,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:specific-products,en:breakfast-cereals,en:products-for-specific-diets,en:products-without-gluten,en:extruded-cereals","Whole Grain Oats, Sugar, Blueberry Puree Concentrate, Corn Starch, Canola Oil, Sunflower Oil, Salt, Corn Syrup, Vegetable Color, Fruit Juice Color, Trisodium Phosphate, Natural Flavor, Vitamin E (mixed tocopherols), Vitamins and Minerals [Calcium Carbonate, Vitamin C (sodium ascorbate), Iron (minera...",,oat_cereal,other,muesli,no_majority,"muesli, granola, corn_flakes, oat_cereal, chocolate_cereal, puffed_rice, mixed, other",oat_cereal,,oat_cereal,kw:oat-cereal
0038000148101,Kellogg's Honey Smacks,"Honey Smacks,Kellogg's",sweetened puffed wheat cereal,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:puffed-grains,en:puffed-cereals,en:puffed-wheat","Whole grain wheat, sugar, glucose syrup, honey, palm oil 2%, fruit juice (color), salt, canola lecithin, mixed tocopherols (vitamin e).",,other,mixed,muesli,no_majority,"muesli, granola, corn_flakes, oat_cereal, chocolate_cereal, puffed_rice, mixed, other",wheat_cereal,,other,kw:wheat-no-class
20621452,Special Flakes Red Berries,Crownfield,red berries cereal,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:cereals-with-fruits,en:extruded-cereals,en:breakfast-cereals-rich-in-fibre,en:cereal-flakes-with-fruits","59% Wholegrain Wheat, Ground Rice, Sugar, 4,5% Freeze Dried Fruit in Varying Proportions (Strawberries, Cherries), Salt, Barley Malt Extract",,other,mixed,muesli,no_majority,"muesli, granola, corn_flakes, oat_cereal, chocolate_cereal, puffed_rice, mixed, other",other,,other,ing:wheat-first
3175681111547,Cereali crusca d'Avena,Céréal,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:flakes,en:cereal-flakes,en:rolled-flakes,en:rolled-oats,it:nutrizione-e-fibre","Céréal Nutrizione e Fibre La CRUSCA D'AVENA: un vero mix di benefici! La crusca è il rivestimento esterno del chicco, Per sua natura è ricca in fibre, vitamine e minerali, e fonte di proteine, I beta-glucani contenuti nella crusca d'avena contribuiscono a conservare normali i livelli di colesterolo ...",oat_cereal,oat_cereal,other,muesli,no_majority,"muesli, granola, corn_flakes, oat_cereal, chocolate_cereal, puffed_rice, mixed, other",oat_cereal,,,unmatched
3263850804915,Pétales Riz et blé complet nature,LEADER PRICE FINE LINGE,Pétales de riz et de blé complet,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:flakes,en:cereal-flakes,en:extruded-cereals,en:extruded-flakes,en:mixed-cereal-flakes","Riz 53 % - blé complet 29 % - sucre - orge 8% - farine complète de blé - sel - farine d’orge maltée - vitamines : C, PP, B6, B2, B1, B9, B12 - fer - émulsifiant : mono - et diglycérides d’acides gras.",,other,mixed,muesli,no_majority,"muesli, granola, corn_flakes, oat_cereal, chocolate_cereal, puffed_rice, mixed, other",mixed,,mixed,kw:multi-grain-rice_wheat
3350031931512,Céréales soufflées au chocolat Bio,MONOPRIX BIO !,Céréales soufflées au chocolat Bio,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:puffed-grains,en:puffed-cereals,fr:cereales-soufflees-au-chocolat-bio","Farine de _blé_* - chocolat* en poudre 29% (sucre de canne*, poudre de cacao*) - farine complète de _blé_* - _avoine_* - sirop de malt d'_orge_* - sucre de canne* - émulsifiant : carbonate de calcium - extrait de vanille*.",,other,chocolate_cereal,muesli,no_majority,"muesli, granola, corn_flakes, oat_cereal, chocolate_cereal, puffed_rice, mixed, other",chocolate_cereal,,chocolate_cereal,kw:choco-priority
3387390321487,Original cereali con frumento e avena integrali,Fitness,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:flakes,en:cereal-flakes,en:extruded-cereals,en:mixed-cereak-flakes","Frumento integrale 50,8%, riso 37,4%, avena integrale 7,1%, zucchero, sciroppo di zucchero di canna parzialmente invertito, estratto di malto d'orzo, vitamine e minerali: Carbonato di calcio, Niacina, Ferro, Acido pantotenico, Vitamina B6, Riboflavina, Acido folico, sale, sciroppo di glucosio, antio...",,other,mixed,muesli,no_majority,"muesli, granola, corn_flakes, oat_cereal, chocolate_cereal, puffed_rice, mixed, other",mixed,,mixed,kw:multi-grain-oat_wheat
3387390333008,"Kellogs, Cini Minis",Nestlé,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:mueslis,en:extruded-cereals,en:fruhstucke,en:fruhstuckscerealien,en:gerostete-getreidekost,en:pflanzliche-lebensmittel-und-getranke","33,7% VOLLKORNWEIZENMEHL, Reismehl, Zucker, Glukosesirup, Sonnenblumenöl, Füllstoff (Calciumcarbonat), WEIZENSTÄRKE, Salz, 0,4% Zimt, natürliche Aromen, Emulgator (Lecithine), Antioxidationsmittel (stark tocopherolhaltige Extrakte), geröstetes GERSTENMALZEXTRAKT, Farbstoff (Annatto Norbixin), Eisen,...",muesli,other,mixed,muesli,no_majority,"muesli, granola, corn_flakes, oat_cereal, chocolate_cereal, puffed_rice, mixed, other",chocolate_cereal,,chocolate_cereal,branded:choco
3421557500985,Ka'ré chocolat noisette,"Céréco,Grillon d'Or",Céréales petit déjeuner,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:chocolate-cereals,en:extruded-cereals,en:filled-cereals,en:breakfast-cereals-filled-with-chocolate-hazelnuts","Fourrage chocolat noisette* 35% (sucre de canne*, chocolat 5,8% (sucre de canne&quot;, beurre de cacao&quot;, cacao maigre&quot;), noisettes* 5,6%, huile de tournesol, poudre de lait écrémé*, cacao maigre*, beurre de cacao&quot;, émulsifiant : lecithine de tournesol&quot;, extrait de vanille&quot;),...",chocolate_cereal,other,chocolate_cereal,muesli,no_majority,"muesli, granola, corn_flakes, oat_cereal, chocolate_cereal, puffed_rice, mixed, other",chocolate_cereal,,chocolate_cereal,cat:chocolate-cereals
4016249006792,Amaranth Poppies,Allos,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals","Amaranthvollkorn* gepoppt 53%, Honig* 21%, Agavendicksaft* 20%, Palmöl*.  *aus kontrolloiert biologichem Anbau",,other,granola,muesli,no_majority,"muesli, granola, corn_flakes, oat_cereal, chocolate_cereal, puffed_rice, mixed, other",other,,other,kw:pseudo-grain-puffed
