code,product_name,brands,generic_name,categories_tags,ingredients_text,silver,gpt4omini,gptoss,llama3b,status,enum_choices,your_arbitrage,note,auto_arbitrage,auto_reason
20227807,Bio-Feta,Bio Sonne,"Griechischer Bio-Feta g.U., mindestens 45% Fett i. Tr., in Meersalzlake gereift","en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:greek-cheeses,en:brined-cheeses,en:feta","pasteurisierte _Schafmilch_¹ und _Ziegenmilch_¹, Meersalz, Lab (mikrobiell), Milchsäurekulturen.",,sheep,mixed,cow,no_majority,"cow, goat, sheep, buffalo, mixed, other",sheep,,sheep,named:feta
20763879,Bio Feta,"Hellenic Dairies, Milbona",,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:greek-cheeses,en:sheep-s-milk-cheeses,en:feta,en:feta-blocs","Pasteurisierte _Schafsmilch_', pasteurisierte _Ziegenmilch_', Speisesalz, mikrobielles Lab, Käsereikulturen, 'aus kontrolliert őkologischer Landwirtschaft,",sheep,sheep,mixed,cow,no_majority,"cow, goat, sheep, buffalo, mixed, other",sheep,,sheep,named:feta
3222110003925,Le Brebiou des Pyrénées,"Fromageries des Chaumes, Le brebiou, Savencia","Fromage industriel de France, à pâte molle à croûte naturelle, au lait pasteurisé de brebis","en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:soft-cheeses,en:pasteurised-products,en:french-cheeses,en:pasteurized-cheeses,en:sheep-s-milk-cheeses,en:soft-cheese-with-a-natural-rind,en:industrial-cheese,en:pyrenees-cheeses","Lait de brebis pasteurisé (Origine: France), sel ferments. Fabriqué dans un atelier utilisant du lait de vache et de brebis.",sheep,sheep,mixed,cow,no_majority,"cow, goat, sheep, buffalo, mixed, other",sheep,,sheep,kw:sheep
4056489125945,Manouri Cheese,"Eridanous, Lidl",Full Fat Cheese Made with Seep's & Goats' Milk,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:greek-cheeses,en:feta",Full fat cheese made with sheep's and goats' _milk_.,,mixed,,cow,no_majority,"cow, goat, sheep, buffalo, mixed, other",sheep,,sheep,kw:sheep
4101530001171,Bio-quark,Berchtesgadener Land,Speisequark Magerstufe,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:desserts,en:dairy-desserts,en:quarks,en:cream-cheeses,en:lean-quark",Speisequark Magerstufe,,other,,cow,no_majority,"cow, goat, sheep, buffalo, mixed, other",,,,unmatched
4311501438664,Gorgonzola,Edeka,,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:blue-veined-cheeses,en:italian-cheeses,en:gorgonzolas",GORGONZOLA,,other,,cow,no_majority,"cow, goat, sheep, buffalo, mixed, other",,,,unmatched
4388844066113,Feta,REWE Bio,"Bio Feta (g.U.), mindestens 45% Fett i. Tr., in Meersalzlake gereift","en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:greek-cheeses,en:sheep-s-milk-cheeses,en:feta","Schafmilch, Ziegenmilch, Meersalzlake, mikrobielles Lab",sheep,sheep,mixed,goat,no_majority,"cow, goat, sheep, buffalo, mixed, other",sheep,,sheep,named:feta
5000187130946,Cheestrings,Strings & Things,Medium fat hard cheese,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:string-cheeses","_Cheese, Acidity Regulators (Citric Acid, Lactic Acid), Paprika, Vitamin D.",,other,,cow,no_majority,"cow, goat, sheep, buffalo, mixed, other",,,,unmatched
5760466848510,Buko - Typ India,"Arla, Buko","Frischkäsezubereitung, wärmebehandelt, Vollfettstufe im Milchanteil","en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:cream-cheeses","_Frischkäse_, kandierte Papaya 5,7% (Papaya 4,0%, Zucker), Speisesalz, Schwarzkümmelsamen, Gewürze, Kräuter, Chilipulver, Kurkuma.",,mixed,,cow,no_majority,"cow, goat, sheep, buffalo, mixed, other",,,,unmatched
7501040080012,Queso estilo Panela La Villita,La Villita,Queso estilo Panela,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,fr:queso-estilo-panela","Leche descremada reconstituida pasteurizada, Grasa y/o aceites vegetales parcialmente hidrogenados, Grasa butírica, Caseinatos, Sal yodada, Saborizantes, Monoestearato de glicerilo, CMC, Goma guar, Carragenina, Fibra de soya, Sorbato de Potasio, Natamicina, Propionato de calcio, Ácido láctico, Ácido...",,mixed,cow,,no_majority,"cow, goat, sheep, buffalo, mixed, other",cow,,cow,kw:milk-default-cow
