code,product_name,brands,generic_name,categories_tags,ingredients_text,silver,sonnet45,gpt4o,gemini25flash,status,enum_choices,your_arbitrage,note
00000561,Huile végétale coco,aroma-zone,,"en:hair,en:body,en:body-oils,fr:coiffants,en:hair-oils",cocos nucifera oil,hair,other,body,hair,no_majority,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8004214000162,Torino Forti Sensazioni,Tcheon Fung Sing,,"en:hygiene,en:shaving,en:soaps,en:shaving-soaps","Aqua (Water), Stearic Acid, Cocos Nucifera Oil, Castor Oil, Potassium Hydroxide, Parfum (Fragrance), Argania Spinosa (Argan) Kernel Oil, Sodium Hydroxide, Linalool, Limonene",body,face,body,other,no_majority,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0057800985525,After Sun Aloe Vera Gel With Vitamin E,Life Brand,,"en:body,en:body-gels",,body,sun,sun,sun,silver_diff,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
3178041321792,Dissolvant douceur,"henkel, diadermine",Dissolvant,"en:face,en:cleansers,en:nail-polish-remover","EthyI Acetate,  Alcohol denat., Aqua, Parfum, Benzophenone-4,  CI 16035, CI 47005",face,other,other,other,silver_diff,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
3282779002738,Cold Cream - crème,Avène,cold cream,"en:body,en:body-creams,fr:cremes-hydratantes","MINERAL OIL (PARAF - FINUM LIQUIDUM). AVENE THERMAL SPRING WATER (AVENE AQUA). BEES WAX (CERA ALBA). GLYCERYL STEARATE. CETYL ALCOHOL, BHT. C20-40 PA - RETH-10. CAPRYLYL GLYCOL. CETYL PHOSPHATE. FRAGRANCE (PARFUM). POLYACRYLATE-13. POLYISOBUTENE. POLYSORBATE 20. SODIUM HYDROX - DE. SORBITAN ISOSTEAR...",body,face,face,face,silver_diff,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
3326100000335,Masque et bain argile blanche,Argiletz Laboratoires,"Masque de beauté visage, masque revitalisant pour cheveux, bain douceur","en:hair,en:face,en:face-masks,en:hair-care,en:hair-masks",argile blanche Kaolin,hair,other,face,face,silver_diff,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
3350033527089,La crème hydratante,"Monoprix bébé,Monoprix",,"en:body,en:body-creams,ar:كريمات-مرطبة","AQUA, HYDROGENATED POLYDECENE, GLYCERIN, CETEARYL ALCOHOL, HELIANTHUS ANNUUS SEED VIL, GLYCERYL STEARATE, PEG-100 STEARATE, CETYL ALCOHOL, CAPRYLYL GLYCOL, DIMETHICONE, PARFUM, CARBOMER, DIPROPYLENE GLYCOL SODIUM HYDROXIDE, GLYCERYL CAPRYLATE GOSSYPIUM HERBACEUM FLOWER EXTRACT, CITRIC ACID, SODIUM B...",body,face,face,body,silver_diff,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
3350034013659,Crème hydratante visage & corps bio,"Monoprix Bébé,Monoprix",,"en:body,en:body-creams,ar:كريمات-مرطبة","AQUA, HELIANTHUS ANNUS SEED OIL, GLYCERIN, BUTYROSPERMUM PARKII BUTTER*, GLYCERYL STEARATE CITRATE, CETYL ALCOHOL ALOE BARBADENSIS LEAF JUICE POWDER*, XYLITYLGLUCOSIDE PARFUM, XANTHAN GUM, TRIETHYL CITRATE, ANHYDROXYLITOL GLYCERYL CAPRYLATE, SODIUM CITRATE, XYLITOL, BENZOIC ACID, CAMELLIA JAPONICA S...",body,face,face,body,silver_diff,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
3770020070020,L'incontournable savon au lait de chèvre parfum rose,Soin Amalthée,Savon au lait de chèvre parfum rose,"en:hygiene,en:face,en:facial-creams,en:soaps,en:anti-aging-face-care-products,en:face-masks","SODIUM RAPESEEDATE, SODIUM COCOATE, AQUA, GOAT MILK, GLYCERIN, PARFUM (FRAGRANCE), SODIUM CHLORIDE, SODIUM CITRATE, CITRIC ACID, TETRASODIUM GLUTAMATE DIACETATE",face,body,body,body,silver_diff,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
4002448047889,Desinfektion Reiniger,"Sagrotan, Reckitt Benckiser",,"en:face,en:cleansers,de:desinfektionsmittel","3,0g Milchsäure, &lt; 5% anionische und nichtionische Tenside, Desinfektionsmittel, Duftstoffe, Limonene.",face,other,other,other,silver_diff,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
4005800137655,Nivea Creme,Nivea,,"en:body,en:face,en:facial-creams,en:body-creams,en:hand-creams","Aqua, Paraffinum Liquidum, Cera Microcristallina, Glycerin, Lanolin Alcohol (Eucerit), Paraffin, Panthenol, Magnesium Sulfate, Decyl Oleate, Octyldodecanol, Aluminum Stearates, Citric Acid, Magnesium Stearate, Sodium Anisate, Limonene, Geraniol, Hydroxycitronellal, Linalool, Citronellol, Benzyl Benz...",body,face,body,face,silver_diff,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
4005900461551,NIVEA SUN UV VISAGE anti-âge Q10,Nivea,crème solaire,"en:suncare,en:in-sun-protections,en:sunscreen",,sun,face,face,face,silver_diff,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
60028006,even tone moisturising cream,"Unilever, Dove",,"en:hygiene,en:deodorants,en:roll-on-deodorants","aqua, aluminium chlorohydrate, glycerin, helianthus annus seed oil-2, parfum, steareth-20, disodium ETDA,",deo,face,face,body,silver_diff,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
7612449131059,Softa-Man,Vet Care,,"en:body,en:hand-creams,en:hand-soap","IND 26 M Vet Care 11 Softa-Man Visco Rub HE NUC RP SL. SP e 500 ml Art.-Nr.: 19621 Zusammensetzung: 100 ml Lösung enthalten: Ethanol (100%) 45 g, 1-Propanol (Ph. Eur.) 18 g, Ge - reinigtes Wasser, Butan-2-on, Glycerol, Isopropylmyristat (Ph. Eur.), (Hexadecyl, octadecyl) [(RS)-2-ethylhexanoat], Octy...",body,other,body,other,silver_diff,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0079656503999,Gel humectante de aloe Vera,Banana boat,,"en:cosmetic-products,fr:gel",,,body,body,body,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0440994052843,Enguague bucal,Colgate,,en:cosmetic-products,,,oral,oral,oral,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0785364130388,Facial Spray,Mario Badescu Skin Care,,en:cosmetic-products,,,face,face,face,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
3094904501166,parodontax,,,en:cosmetic-products,,,oral,oral,oral,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
3140100165494,Champú cobre & coral,Keranove,,en:cosmetic-products,,,hair,hair,hair,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
3518646213014,Bactidose Gel hygiène mains,"Bactidose, Laboratoires Gilbert",,"en:hygiene,en:hydro-alcoholic-gels","Le Gel Hydroalcoolique permet un nettoyage et une désinfection rapide des mains sans rinçage. Bactericide, Levuricide, Virucide et efficace sur les virus de la gastroenterite. Hypoallergénique. Ne dessèche pas les mains. Contient des agents hydratants. Substance active: Ethanol 70% (v/v), CAS: 64-17...",,other,body,other,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
3660005152165,Cremă  mâini,Yves Rocher,,en:cosmetic-products,"dannes AGUA DE ARNIC nas zonas secas. Não aplicar na pele magoada. 'Etude clinique objectivée sur 12 cas Aplicar sempre que necessário, 12 cases . . Objective clinical 10957VO INGREDIENTS: AQUA/WATER/EAU COCO-CA - PRYLATE/CAPRATE COCOS NUCIFERA (COCONUT) OIL ALCO - HOL BUTYROSPERMUM PARKII (SHEA) BU...",,body,body,body,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
5060176671324,Aloe Vera Hand Wash,Dr Organic,,en:cosmetic-products,,,body,body,,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
5060326270827,Caseina Micelar Fresa,hsn,,en:cosmetic-products,,,other,other,,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
6291069707144,Dabur Herb'l,Neem,,en:cosmetic-products,,,oral,oral,oral,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
7501019038037,Jabon intimo,Saba,,en:cosmetic-products,"INGREDIENTES Agua, Cocoamidopropil betaina, (y) Cloruro de sodio (y) Glicerina (y) Acido de coco, Lauril sulfato de sodio (y) Sulfato de sodio (y) Laureth-2 (y) Acido citrico, Glicerina, Glicereth-26, PEG-7 Gliceril Cocoato, Perfume, Acrilato (y) Crospolimero C10-30 Alquil acrilato, Benzoato de sodi...",,intimate,intimate,intimate,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
7591472014211,Jabón intimo farmatodo calendula,farmatodo,,en:cosmetic-products,,,intimate,intimate,intimate,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
7704269114340,jabón líquido antibacterial,terapia Xtreme,,en:cosmetic-products,,,body,body,body,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
7707195950372,blanqueador,,,en:cosmetic-products,"INGREDIENTES: Agua, Hipoclorito de sodio, Fragancia, Hidroxido de sodio.",,other,other,other,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8410020652394,Blanqueador avanzado,Licor del Polo,,en:cosmetic-products,,,oral,oral,oral,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8410175076786,suero rehidratacion oral,Hero,,en:cosmetic-products,,,other,oral,oral,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8410436286800,Acción 3,Licor del Polo,,en:cosmetic-products,,,oral,oral,oral,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8411126039867,Loción extra nutritiva,Natural Honey,,en:cosmetic-products,,,body,body,body,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8411135006263,Gel fijador control total,Giorgi,,en:cosmetic-products,,,hair,hair,hair,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8413080000501,Pañuelos,Mica Derm,,en:cosmetic-products,,,other,other,,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8413600106416,Jabón líquido ultra suave,Nenuco,,en:cosmetic-products,,,body,body,body,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8420212894228,Gel higienizante de manos,Valquer,,en:cosmetic-products,,,body,body,other,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8433329082914,Pañuelos extrasuaves,El Corte inglés,,en:cosmetic-products,,,other,other,,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8435001000490,Adiós pañuelos,Pinisan,,en:cosmetic-products,,,other,other,,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8470001507983,Reparador labial,Isdin,,en:cosmetic-products,,,face,face,face,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8470001901200,Reparador labial,Isdin,,en:cosmetic-products,,,face,face,face,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8480000774651,Gel manos hidroalcohólico,Deliplus,,en:cosmetic-products,,,other,,other,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8480017015754,Jabón de manos para cocina,Bonté,,en:cosmetic-products,,,body,body,,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8480017134073,jabon bonte natural glycerin,,,en:cosmetic-products,"Jabon de tocador con erina Ingredientes tNCE Tallow, AlcoholSucrose, Aqua, Glyceriodum Hydroxide, Cocos Nucifera, Fragrante. CI 19140, CI 1625s . LATENCION AL CLIENTE 0810 2225316 www.supenmercadosdia.com.ar",,body,body,body,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8690506507039,jabón pastilla agua micellar,Duru,,en:cosmetic-products,,,body,body,body,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8901012131060,Listerine Freshburst,Listerine,Mouthwash,en:cosmetic-products,,,oral,oral,oral,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
8905110007784,Shower Gel,Fiama,,en:cosmetic-products,,,body,body,body,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
9220079597626,NATURAL HERBAL BEAUTY SOAP - LUXURY AROMA ENRICHED WITH LAVENDER OIL,reyya,,en:cosmetic-products,,,body,body,body,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
9220079597701,NATURAL HERBAL BEAUTY SOAP - LUXURY AROMA ENRICHED WITH SAFFRON EXTRACT,REYYA PREMIUM,,en:cosmetic-products,,,body,body,body,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
9220079597756,NATURAL HERBAL BEAUTY SOAP - LUXURY AROMA ENRICHED WITH LITCHEE EXTRACT AND FLAVOUR,REYYA PREMIUM,,en:cosmetic-products,,,body,body,body,silver_missing,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
00000311,Huile végétale Amande douce,aroma-zone,,"en:hair,en:body,en:body-oils,fr:coiffants,en:hair-oils",Prunus amygdalus dulcis oil,hair,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
00000587,Macérât huileux Lys,aroma-zone,,"en:body,en:body-oils","helianthus annuus seed oil, lilium candidum flower extract.",body,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
00000905,Henné d'Egypte,Aroma-Zone,,"en:hair,en:hair-dyes",Lawsonia inermis (Henna) leaf powder (poudre 100% pure de feuilles de Henné).,hair,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
00006582,Jardins du monde Fleur de coton d'Inde,Yves Rocher,Déodorant anti-transpirant,"en:hygiene,en:deodorants,en:anti-perspirants,en:roll-on-deodorants","AQUA, ALUMINUM CHLOROHYDRATE, PPG-15 STEARYL ETHER, HAMAMELIS VIRGINIANA WATER, STEARETH-2, GOSSYPIUM HERBACEUM EXTRACT, STEARETH-20, SODIUM BENZOATE, PARFUM, PROPYLENE GLYCOL, LIMONENE",deo,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
00012114,Crema Hidratante,"Bio milk, Yanbal",crema hidratante con proteínas de yogurt probiótico mora arándano,"en:body,en:body-creams","Aqua (Water), Dimethicone, Ethylmexyl Stearate, Glycerin, Glyceryl Stearate, Cetearyl Alcohol, PEG-100 Stearate, Phenoxyethanol, Parfum (Fragrance), Hydroxyacetophenone, ACRYLATES CROSSPOLYMER (C10-30 Alkyl Acrylate Crosspolymer), Hydrolyzed Yogurt Protein, Disodium EDTA, Panthenol, Sodium Hydroxide...",body,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
00012282,Totalist Crema Anti Arrugas Jalea Real,"Totalist, Yanbal","crema multiacción anti arrugas, reafirmante, fortalecedora, nutritiva e hidratante.","en:face,en:facial-creams,en:anti-aging-face-care-products,en:anti-wrinkles-creams","AQUA, CANOLA OIL, CETYL ALCOHOL, GLYCERIN, ETHYLHEXYL STEARATE, CAPRYLIC (CAPRIC TRIGLYCERIDE), C12-15 ALKYL BENZOATE, CARTHAMUS TIHCTORIUS SEED OIL (SAFFLOWER SEED OIL), BUTYROSPERMUM PARKII BUTTER (SHEA BUTTER), THEOBROMA CACAO SEED BUTTER (COCOA SEED BUTTER), GLYCERYL STEARATE, PARFUM (FRAGRANCE)...",face,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
00014426,Máxima Protección Anticaries,Colgate,"crema dental con flúor, menta refrescante, con calcio.","en:hygiene,en:toothpastes",monofluorfosfato de sodio,oral,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
00014593,Total 12 Encías Reforzadas,"Colgate,Total",crema dental anticarie con flúor.,"en:hygiene,en:toothpastes,en:whitening-toothpastes","GLYCERIN, AQUA, HYDRATED SILICA, SODIUM LAURYL SULFATE, ARGININE, AROMA, ZINC OXIDE, CELLULOSE GUM, POLOXAMER 407, TETRASODIUM PYROPHOSPHATE, BENZYL ALCOHOL, COCAMIDOPROPYL BETAINE, SODIUM FLUORIDE 0.145%, SODIUM SACCHARIN, XANTHAN GUM, PHOSPHORIC ACID, SUCRALOSE, CI 77891.",oral,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
00015063,Triple Acción Menta Original,Colgate,crema dental anticaries con flúor y calcio.,"en:hygiene,en:toothpastes","Aqua, Calcium Carbonate, Sorbitol, Sodium Lauryl Sulfate, Sodium Monofluorophosphate, Aroma, Cellulose Gum, Tetrasodium Pyrophosphate, Sodium Bicarbonate, Benzyl Alcohol, Sodium Saccharin, Xanthan Gum, Sodium Hydroxide, CI 74260, CI 74160.",oral,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
00015262,"Masque nutri-réparateur, cheveux très secs ou frisés",Yves Rocher,Masque capillaire,"en:hair,en:hair-care,en:hair-masks",,hair,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0002010001476,Aclarante,Tio Nacho,,"en:hair,en:shampoos",,hair,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
00021007,Culture Bio Gel Douche Fraîcheur à l'Aloe Vera bio,Yves Rocher,,"en:hygiene,en:showers-and-baths,en:shower-gels","AQUA/WATER/EAU, ALOE BARBADENSIS LEAF JUICE*, AMMONIUM LAURYL SULFATE, COCAMIDOPROPYL BÉTAÏNE, GLYCERIN, POLYGLYCERYL-4 CAPRATE, CAPRYLYL/CAPRYL GLUCOSIDE, SODIUM CHLORIDE, SODIUM BENZOATE, CITRIC ACID, PARFUM/FRAGRANCE, SALICYLIC ACID, LIMONÈNE.",body,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
00022265,Pastille effervescente pour le bain à la noix de coco,"Les Plaisirs Nature, Yves Rocher",Pastille effervescente pour le bain,"en:hygiene,en:showers-and-baths,en:bath-salts","sodium bicarbonate, citric acid, monosodium citrate, parfum, dextrin, peg-150, silica, sodium benzoate, cocos nocifera, benzyl benzoate, coumarin, hexyl cinnamal, CI 77891.",body,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
00027606,Pure calmille depuis 1964 since,Yves Rocher,Crème douceur visage et corps à l'extrait pur de camomille bio,"en:body,en:face,en:facial-creams,en:body-creams,fr:cremes-hydratantes","AQUA, PROPYLENE GLYCOL, VITIS VINIFERA SEED OIL, HYDROGENATED PALM KERNEL OIL, ELAEIS  GUINEENSIS OIL, UREA, MYRISTYL MYRISTATE, GLYCERIN, DIMETHICONE, BRASSICA CAMPESTRIS SEED OIL, GLYCERYL STEARATE, STEARYL ALCOHOL, STEARIC ACID, CETYL ALCOHOL, PEG-100 STEARATE, PARAFFINUM LIQUIDUM, CHAMOMILLA REC...",body,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
00028634,Pure calmille,Yves Rocher,crème douceur visage et corps à la camomille bio de La Gacilly France,"en:body,en:face,en:facial-creams,en:body-creams",,body,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
00052349,Les plaisirs nature Lait velouté Vanille,Yves Rocher,,"en:body,en:body-milks",,body,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
00052895,Cube pétillant pour le bain vanille CollectOr,"CollectOr, Yves Rocher",Cube pétillant pour le bain,"en:hygiene,en:showers-and-baths,en:bath-salts","sodium bicarbonate, citric acid, monosodium citrate, maltodextrin, talc, parfum/fragrance, peg-150, silica, amyl cinnamal, hexyl cinnamal, limonene, CI 14700 (red 4), CI 19140 (yellow 5), CI 42090 (blue 1).",body,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
00061774,Cube pétillant pour le bain Vanille,Yves Rocher,,"en:hygiene,en:showers-and-baths,en:bubble-baths","sodium bicarbonate, citric acid, monosodium citrate, maltodextrin, talc, parfum/fragrance, PEG-150, silica, amyl cinnamal, hexyl cinnamal, limonene, CI 14700 (red 4), CI 19140 (yellow 3), CI 42090 (blue 1).",body,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0012044038918,Desodorante,Old Spice,,"en:hygiene,en:deodorants","DIPROPYLENE GLYCOL, WATER, PROPYLENE GLYCOL, SODIUM STEARATE, POLOXAMINE 1307, FRAGRANCE, PPG-3 MYRISTYL ETHER, TETRASODIUM EDTA, VIOLET 2, GREEN 6",deo,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0012388002996,Lirio - Jabon antibacterial,,,en:cosmetic-products,"Siguenos en Face MODO DE USO: Enjabone y enjuague. INGREDIENTES: Pasta de Jabon Neutra, Glicerina, Fragancia, Activo Bactericida, Activo Conservador, Agua de Coco y Dioxido de Titanio. *Efectivo contra Escherichia coli y Staphylococcus aureus. ADVERTENCIA: Para uso externo unicamente. Evite contacto...",,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0022400621906,Extra Hold Hairspray,"Unilever, Tresemmé",,en:hair-sprays,"SD ALCOHOL 40-B (ALCOHOL DENAT HYDROFLUOROCARBON 152A, VA/CROTONATES/VINYL NEODECANOATE COPOLYMER, OCTYLACRYLAMIDE/ ACRYLATES/BUTYLAMINOETHYL METHACRYLATE COPOLYMER, AMINOMETHYL PROPANOL, DIMETHYL STEARAMINE, FRAGRANCE (PARFUM), AMYL CINNAMAL, BENZYL ALCOHOL, CITRONELLOL, GERANIOL, HEXYL CINNAMAL, H...",hair,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0035000970466,Clear Gel Zero Anticavity Flouride Toothpaste,Colgate,,"en:non-food-products,en:open-beauty-facts,en:toothpaste","Sodium flouride 0.243%, Aqua, Aroma, Benzyl alcohol, Cellulose gum, Hydrated silica, PEG-12, Rebaudioside A, Sodium lauryl sulfate, Sorbitol, Xylitol.",oral,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0042279474335,suero oral coco,suero oral,,en:cosmetic-products,,,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0050051802856,Coca-Cola,Lip Smacker,,en:cosmetic-products,,,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0056100074427,3D White Luxe Diamond Strong Brilliant Mint Fluoride Toothpaste,"Crest, Procter & Gamble",,"en:non-food-products,en:open-beauty-facts,en:toothpaste,en:whitening-toothpastes","Sodium Fluoride 0.243%, water/eau, sorbitol, hydrated silica, disodium pyrophosphate, xylitol, flavour/saveur, sodium hydroxide, cellulose gum, cocamidopropyl betaine, sodium laureth-2 phosphate, sodium saccharin, xanthan gum, carbomer, sucralose, polyethylene oxide/polyéthylène oxydé, mica, titaniu...",oral,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
