code,product_name,attr,silver,llm_assisted
4061458013321,Sahne kefir,sugar_class,,med
4061458013321,Sahne kefir,nutri_score_grade,E,
4061458013321,Sahne kefir,protein_class,,low
7501086801015,Agua purificada sin sodio,nutri_score_grade,B,A
3298020744654,Syrah 2014,beverage_type,,other
3298020744654,Syrah 2014,nova_group,3.0,1.0
3298020744654,Syrah 2014,is_vegan,,True
7790710334702,Frutos del Bosque,beverage_type,,tea
7790710334702,Frutos del Bosque,sugar_class,,0
7790710334702,Frutos del Bosque,nova_group,4.0,3.0
7790710334702,Frutos del Bosque,protein_class,,0
7790710334702,Frutos del Bosque,is_vegan,,True
7771802001313,Té con canela y limón,sugar_class,,0
7771802001313,Té con canela y limón,nova_group,1.0,3.0
7771802001313,Té con canela y limón,protein_class,,0
7771802001313,Té con canela y limón,is_vegan,,True
40678047,Lübzer Pils,beverage_type,,other
40678047,Lübzer Pils,sugar_class,,0
40678047,Lübzer Pils,nutri_score_grade,,C
40678047,Lübzer Pils,nova_group,3.0,1.0
40678047,Lübzer Pils,protein_class,,low
8017596005656,Thè limone,sugar_class,med,high
8017596005656,Thè limone,nutri_score_grade,E,D
8017596005656,Thè limone,is_vegan,,True
3760056650204,Vin rouge biologique AOC Anjou (fontaine de 5 L),beverage_type,,other
3760056650204,Vin rouge biologique AOC Anjou (fontaine de 5 L),sugar_class,,0
3760056650204,Vin rouge biologique AOC Anjou (fontaine de 5 L),nova_group,,1.0
3760056650204,Vin rouge biologique AOC Anjou (fontaine de 5 L),protein_class,,0
3350031936050,Thé vert aromatisé mûre Bio Monoprix,nutri_score_grade,B,A
3350031936050,Thé vert aromatisé mûre Bio Monoprix,nova_group,4.0,1.0
3350031936050,Thé vert aromatisé mûre Bio Monoprix,is_vegan,,True
70177057374,Twinings Herbal Infusions Pure Camomile,sugar_class,,0
70177057374,Twinings Herbal Infusions Pure Camomile,nutri_score_grade,,A
70177057374,Twinings Herbal Infusions Pure Camomile,protein_class,,0
3760262450421,Golden Bridge,beverage_type,,other
3760262450421,Golden Bridge,sugar_class,,low
3760262450421,Golden Bridge,nova_group,3.0,4.0
3760262450421,Golden Bridge,protein_class,,low
3760262450421,Golden Bridge,is_vegan,True,False
8410128670412,Batido sabor vainilla,sugar_class,med,high
8410128670412,Batido sabor vainilla,nutri_score_grade,C,D
7790742106605,Leche Descremada en Polvo Instantánea,beverage_type,,dairy
7790742106605,Leche Descremada en Polvo Instantánea,sugar_class,,low
7790742106605,Leche Descremada en Polvo Instantánea,nutri_score_grade,,B
7790742106605,Leche Descremada en Polvo Instantánea,nova_group,4.0,3.0
7790742106605,Leche Descremada en Polvo Instantánea,protein_class,low,high
3251091200511,Bordeaux AOC 2010 Bio Château Vieux Gabiran,beverage_type,,other
