code,product_name,brands,ingredients_text,quantity,silver_beverage_type,manual_beverage_type,silver_sugar_class,manual_sugar_class,silver_is_organic,manual_is_organic,silver_is_carbonated,manual_is_carbonated,silver_nutri_score_grade,manual_nutri_score_grade,silver_nova_group,manual_nova_group,silver_protein_class,manual_protein_class,silver_is_vegan,manual_is_vegan
## ЛЕГЕНДА (не заполнять — удалить эту строку перед сохранением),,,,,(текущий эталон),water|juice|soda|tea|coffee|dairy|sport|other,(текущий эталон),0|low|med|high|None,(текущий эталон),True / False / None,(текущий эталон),True / False / None,(текущий эталон),A|B|C|D|E|None,(текущий эталон),int,(текущий эталон),0|low|med|high|None,(текущий эталон),True / False / None
4061458013321,Sahne kefir,Gut & Günstig,"Sahnekefir mild, Heidelbeerzubereitung, (Heidelbeeren, Zucker, Heidelbeerpüree aus Heidelbeerpüreekonzentrat, Stärke, Verdickungsmittel: Johannisbrotkernmehl, Pektine;Säureregulator: Natriumcitrate, Aroma), Zucker",250 g,dairy,,,,False,,False,,E,,4,,,,False,
7501086801015,Agua purificada sin sodio,Epura,Agua purificada,1.5 L,water,,0,,False,,False,,B,,1,,0,,True,
3298020744654,Syrah 2014,"Les Vignobles Foncalieu, Puychéric",Vin (_sulfites_),375 ml,,,0,,False,,False,,,,3,,0,,,
7790710334702,Frutos del Bosque,CBSé,"Yerba Mate elaborada con palo, Rosa mosqueta, AROMATIZANTE (Saborizante de Frutos Rojos).",500 g,,,,,False,,False,,,,4,,,,,
7771802001313,Té con canela y limón,Windsor,"Té negro, canela, limón, hibisco, regulador de acidez (SIN 330), saborizantes idénticos al natural (saborizante idéntico al natural de limón, saborizante idéntico al natural de canela).",34 g (20 x 1.7 g),tea,,,,False,,False,,,,1,,,,,
40678047,Lübzer Pils,Lübzer,"Wasser, Gerstenmalz, Hopfen",500 ml,,,,,False,,True,,,,3,,,,True,
8017596005656,Thè limone,"Blues, Eurospin","Acqua, zucchero, fruttosio, aromi, acido citrico, estratto di tè (0,1%), succo di limone da concentrato (0,1%), acido ascorbico, sucralosio","0,5",tea,,med,,False,,False,,E,,4,,0,,,
3760056650204,Vin rouge biologique AOC Anjou (fontaine de 5 L),Domaine Babin Billy,Vin rouge biologique cépage Cabernet (_sulfites_),5 L,,,,,True,,False,,,,,,,,True,
3350031780295,MONOPRIX BIO 100% PUR JUS  D'ORANGE,MONOPRIX BIO !,Jus d'orange*. * ingrédient issu de l'agriculture biologique.,1 L,juice,,med,,True,,False,,C,,1,,0,,True,
3350031936050,Thé vert aromatisé mûre Bio Monoprix,Monoprix,Thé vert* 63% - feuilles de frêne* 26% - arôme naturel de mûre avec autres arômes naturels 7% - thalle de fucus 4%.,30 g,tea,,0,,True,,False,,B,,4,,0,,,
0070177057374,Twinings Herbal Infusions Pure Camomile,Twinings,Camomile,10g,tea,,,,False,,False,,,,1,,,,True,
3760262450421,Golden Bridge,"Grizzly, Grizzly Microbrasserie","EAU, MALT D'_ORGE_, BLÉ, HOUBLONS, LEVURES (BIÈRE NON PASTEURISÉE)",33cl,,,,,False,,True,,,,3,,,,True,
8410128670412,Batido sabor vainilla,Pascual,"Leche parcialmente desnatada al 1% M.G.(93%), azúcar, estabilizantes: E-339,E-331,E-407, aroma y colorantes: E-100, E-120.",200 ml,dairy,,med,,False,,False,,C,,4,,low,,False,
7790742106605,Leche Descremada en Polvo Instantánea,La Serenisima,"Leche descremada, vitamina A, vitamina B9, vitamina D, emulsionante (lecitina de soja)",400 g,,,,,False,,False,,,,4,,low,,False,
3251091200511,Bordeaux AOC 2010 Bio Château Vieux Gabiran,Château Vieux Gabiran,Vin rouge Bio,75 cl,,,low,,True,,False,,,,3,,0,,,
5010019601346,Whisky Ecosse blended sans âge 150 cl Long John,Long John,Whisky écossais,150 cL,,,0,,False,,False,,,,3,,0,,,
5010019601742,Whisky Ecosse blended sans âge 70 cl Long John,Long John,Whisky écossais,70 cl,,,0,,False,,False,,,,3,,0,,,
4270001014603,Bio Apfelsaft naturtrüb,Bio Streuobst-Hof Stöckl,100% Bio-Apfelsaft,3 L,juice,,,,True,,False,,C,,1,,,,True,
3245415367103,L'Héritage de Carillan Sable de Camargue IGP 3L,L'Héritage de Carillan,Issu de Cépages typiques de la Camargue,3 L,,,,,False,,False,,,,,,,,,
3289196400314,Mini pur jus de Cranberry bio,Vitamont,Jus de cranberry,25 cl,juice,,low,,True,,False,,B,,1,,0,,True,
6973116300040,Pokémon : Canette d'eau pétillante au litchi,Qdol,"GB/T 许可证编 18286 浙江省 POKENY 宝可梦 TM CNintendo, Creatures GAME FREAK TV Tokyo Sh C.Pokemon. FOR SALE IN MAINLAND CHINA ONLY 【项目 营养成分表 每100毫升(ml) 营养素参考值% 或NRV 117千焦(kJ) 1% 0% 0克(g) | 碳水化合物 6.9克(g) 0% 0克(g) 2% 0% 0毫克(mg) | 能量 蛋白质 【脂肪 |钠 O FOR CHINA 73116&quot;300040 FF-2024 007871A) 合格 无蔗糖",330 ml,water,,med,,False,,True,,D,,,,0,,,
5901359000237,Tyskie Grand Prix,Tyskie,"Eau, malt d'orge, houblon.",500 ml,,,,,False,,True,,,,3,,,,True,
4056489172703,Joghurt Drink Erdbeer-Bananen,Milbona,"Joghurterzeugnis, Wasser, Zucker, modifizierte Stärke, 0,5% Erdbeersaft aus Erdbeersaftkonzentrat, 0,5% Bananensaft aus Bananensaftkonzentrat, Säureregulator: Natrium - citrate; Säuerungsmittel: Citronensäure; färbendes Karottenkonzentrat, Aroma (enthält Milch). Ungeöffnet unter +8 °C","750g, 705ml",dairy,,low,,False,,False,,B,,,,0,,,
5060337220408,Kefir cultured milk drink,bio tiful dairy,"Pasteurised cow's milk fermented with live kefir cultures Includes Bifidobacterium, Lactobacillus acidophilus lare plantarum, Lactobacillus casei, Lactobacillus rhamnosus",250ml,dairy,,low,,True,,False,,,,1,,low,,,
9313559588235,11 today,Hip hip,PC2021 6. 9 1 || 313559 588235 Made in China,hooray,,,,,False,,False,,,,,,,,,
