code,product_name,attr,silver,llm_assisted
3596710494194,Muesli fruits et baies,is_low_sugar,True,False
3596710494194,Muesli fruits et baies,is_high_fibre,True,False
8001120847201,Fiocchi Croccanti con Frutta,cereal_type,,muesli
8001120847201,Fiocchi Croccanti con Frutta,grain_type,,wheat
8001120847201,Fiocchi Croccanti con Frutta,is_low_sugar,False,
8001120847201,Fiocchi Croccanti con Frutta,is_vegan,,True
5010029000504,weetabix,cereal_type,,other
5010029000504,weetabix,grain_type,,wheat
5010029000504,weetabix,is_low_sugar,True,
5010029000504,weetabix,is_high_fibre,True,
5010029000504,weetabix,is_vegan,,True
7613032948719,Nestle Fitness Fruits Con Antiossidanti,cereal_type,,mixed
7613032948719,Nestle Fitness Fruits Con Antiossidanti,grain_type,,multigrain
7613032948719,Nestle Fitness Fruits Con Antiossidanti,is_high_fibre,True,False
7613032948719,Nestle Fitness Fruits Con Antiossidanti,is_vegan,,False
5010477353115,Crunchy Oat Granola Raisin & Almond,cereal_type,muesli,granola
5010477353115,Crunchy Oat Granola Raisin & Almond,grain_type,multigrain,oat
5010477353115,Crunchy Oat Granola Raisin & Almond,is_high_fibre,True,False
8012666007035,Fibra STICKS,cereal_type,,other
8012666007035,Fibra STICKS,grain_type,,wheat
8012666007035,Fibra STICKS,nova_class,ultra_processed,processed
8012666007035,Fibra STICKS,is_vegan,,True
8012666007035,Fibra STICKS,is_whole_grain,False,True
3350031931512,Céréales soufflées au chocolat Bio,cereal_type,,chocolate_cereal
3350031931512,Céréales soufflées au chocolat Bio,grain_type,,wheat
3350031931512,Céréales soufflées au chocolat Bio,is_high_fibre,True,False
3350031931512,Céréales soufflées au chocolat Bio,is_vegan,,True
3350031931512,Céréales soufflées au chocolat Bio,is_whole_grain,False,True
3700214613931,Muesli croustillant choco bio Alter Eco,cereal_type,muesli,granola
3700214613931,Muesli croustillant choco bio Alter Eco,is_high_fibre,True,False
3700214613931,Muesli croustillant choco bio Alter Eco,is_vegan,,True
3700214613931,Muesli croustillant choco bio Alter Eco,is_whole_grain,False,True
8001300804994,"Multigrain di Riso, Frumento integrale e Orzo",cereal_type,,mixed
8001300804994,"Multigrain di Riso, Frumento integrale e Orzo",grain_type,,multigrain
8001300804994,"Multigrain di Riso, Frumento integrale e Orzo",is_high_fibre,True,False
8001300804994,"Multigrain di Riso, Frumento integrale e Orzo",nova_class,,ultra_processed
8001300804994,"Multigrain di Riso, Frumento integrale e Orzo",is_vegan,,False
7613032779566,chocapic,grain_type,,wheat
7613032779566,chocapic,is_high_fibre,True,False
7613032779566,chocapic,is_vegan,,False
4061458179003,Schoko Müsli,cereal_type,chocolate_cereal,muesli
4061458179003,Schoko Müsli,grain_type,multigrain,oat
4061458179003,Schoko Müsli,is_high_fibre,True,False
3350031937804,Muesli croustillant fruits rouges Bio Monoprix,cereal_type,muesli,granola
3350031937804,Muesli croustillant fruits rouges Bio Monoprix,is_high_fibre,True,False
3350031937804,Muesli croustillant fruits rouges Bio Monoprix,nova_class,processed,ultra_processed
3350031937804,Muesli croustillant fruits rouges Bio Monoprix,is_whole_grain,False,True
4000540000641,Bio-Haferflocken zart,is_whole_grain,False,True
8002330008857,Chejoy,cereal_type,,chocolate_cereal
8002330008857,Chejoy,grain_type,,multigrain
8002330008857,Chejoy,is_high_fibre,True,False
8002330008857,Chejoy,is_whole_grain,True,False
9009865004063,Bio Beeren Porridge,grain_type,,oat
9009865004063,Bio Beeren Porridge,is_low_sugar,False,True
9009865004063,Bio Beeren Porridge,nova_class,natural,processed
9009865004063,Bio Beeren Porridge,is_vegan,,True
9009865004063,Bio Beeren Porridge,is_whole_grain,False,True
7613034356468,Cereali a forma di biscotto Cookie Crisp,grain_type,,multigrain
7613034356468,Cereali a forma di biscotto Cookie Crisp,is_high_fibre,True,False
7613034356468,Cereali a forma di biscotto Cookie Crisp,is_vegan,,False
3760222470650,Flocons de Sarrazin bio,cereal_type,,other
3760222470650,Flocons de Sarrazin bio,grain_type,,other
3760222470650,Flocons de Sarrazin bio,is_high_fibre,True,False
3760222470650,Flocons de Sarrazin bio,nova_class,,natural
3760222470650,Flocons de Sarrazin bio,is_vegan,,True
3760222470650,Flocons de Sarrazin bio,is_whole_grain,False,True
8003170055797,Fiocchi di avena,is_whole_grain,False,True
8003170055797,Fiocchi di avena,is_organic,True,False
5000108022176,PORAGE OATS ORIGINAL TRADITIONAL SMOOTH CUT,is_high_fibre,False,True
5000108022176,PORAGE OATS ORIGINAL TRADITIONAL SMOOTH CUT,is_whole_grain,False,True
38000148101,Kellogg's Honey Smacks,cereal_type,,other
38000148101,Kellogg's Honey Smacks,grain_type,,wheat
11110030726,Peanut Butter Sweetened Multi-Grain Toasted Cereal,cereal_type,,other
11110030726,Peanut Butter Sweetened Multi-Grain Toasted Cereal,grain_type,,multigrain
11110030726,Peanut Butter Sweetened Multi-Grain Toasted Cereal,is_vegan,,False
5059319004792,Dark Choco,grain_type,,multigrain
5059319004792,Dark Choco,is_vegan,True,False
7610023000173,Nature Crunch,is_low_sugar,True,False
7610023000173,Nature Crunch,is_high_fibre,True,False
7610023000173,Nature Crunch,is_whole_grain,False,True
7501071305184,Granola 5 Semillas,cereal_type,,granola
7501071305184,Granola 5 Semillas,grain_type,,oat
7501071305184,Granola 5 Semillas,is_high_fibre,True,False
7758574003493,Avena Multisemillas,grain_type,oat,multigrain
7758574003493,Avena Multisemillas,is_low_sugar,False,True
7758574003493,Avena Multisemillas,nova_class,natural,processed
7758574003493,Avena Multisemillas,is_vegan,,True
7758574003493,Avena Multisemillas,is_whole_grain,False,True
4316268486743,Crunchy Nuss-Knuspermüsli,cereal_type,muesli,granola
4316268486743,Crunchy Nuss-Knuspermüsli,grain_type,multigrain,oat
4316268486743,Crunchy Nuss-Knuspermüsli,is_high_fibre,True,False
4316268486743,Crunchy Nuss-Knuspermüsli,is_whole_grain,False,True
7771718360054,Gozito,cereal_type,,chocolate_cereal
7771718360054,Gozito,grain_type,,corn
5053827182225,Extra choccolato al latte,cereal_type,chocolate_cereal,granola
5053827182225,Extra choccolato al latte,grain_type,,oat
20152917,Corn flakes,cereal_type,,corn_flakes
20152917,Corn flakes,grain_type,,corn
20152917,Corn flakes,nova_class,processed,ultra_processed
20152917,Corn flakes,is_vegan,,True
16000487697,Multi Grain Cheerios,cereal_type,,mixed
16000487697,Multi Grain Cheerios,grain_type,,multigrain
16000487697,Multi Grain Cheerios,is_high_fibre,True,False
16000487697,Multi Grain Cheerios,is_vegan,,True
3222475651298,Flocons d'avoine,is_whole_grain,False,True
20774998,Schoko Hafer-Müsli,cereal_type,chocolate_cereal,muesli
20774998,Schoko Hafer-Müsli,grain_type,multigrain,oat
20774998,Schoko Hafer-Müsli,is_low_sugar,True,False
20774998,Schoko Hafer-Müsli,is_high_fibre,True,False
20774998,Schoko Hafer-Müsli,is_whole_grain,False,True
7754159001243,Avena,cereal_type,,oat_cereal
7754159001243,Avena,grain_type,,oat
7754159001243,Avena,is_low_sugar,False,True
7754159001243,Avena,is_high_fibre,False,True
7754159001243,Avena,nova_class,,natural
7754159001243,Avena,is_vegan,,True
7754159001243,Avena,is_whole_grain,False,True
4056489193029,Neo bits,cereal_type,,chocolate_cereal
4056489193029,Neo bits,grain_type,,wheat
4056489193029,Neo bits,is_high_fibre,True,False
4056489193029,Neo bits,is_whole_grain,False,True
5053827187343,Granola cioccolato e nocciole,cereal_type,chocolate_cereal,granola
5053827187343,Granola cioccolato e nocciole,grain_type,multigrain,oat
5053827187343,Granola cioccolato e nocciole,is_high_fibre,True,False
7771214002755,Frutaritos,cereal_type,,other
7771214002755,Frutaritos,grain_type,,multigrain
5050083519116,Choco Krispies,cereal_type,,chocolate_cereal
5050083519116,Choco Krispies,grain_type,,rice
5050083519116,Choco Krispies,is_vegan,,True
7613287256256,Shreddies The Simple One,cereal_type,,other
7613287256256,Shreddies The Simple One,grain_type,,wheat
7613287256256,Shreddies The Simple One,is_high_fibre,True,
5000127163096,Special K The Original,cereal_type,,other
5000127163096,Special K The Original,grain_type,,multigrain
5000127163096,Special K The Original,is_high_fibre,True,False
5000127163096,Special K The Original,nova_class,processed,ultra_processed
5000127163096,Special K The Original,is_vegan,,True
8001300803331,Muesli con semi e frutti di bosco,is_low_sugar,True,False
8001300803331,Muesli con semi e frutti di bosco,nova_class,ultra_processed,processed
8001300803331,Muesli con semi e frutti di bosco,is_vegan,,True
8001300803331,Muesli con semi e frutti di bosco,is_organic,True,False
30000315507,Real Medleys Apple Walnut,cereal_type,muesli,oat_cereal
30000315507,Real Medleys Apple Walnut,is_high_fibre,True,False
30000315507,Real Medleys Apple Walnut,is_vegan,,False
7702103002143,Müsli Manzana,is_high_fibre,True,False
