code,product_name,brands,ingredients_text,quantity,silver_cereal_type,manual_cereal_type,silver_grain_type,manual_grain_type,silver_is_low_sugar,manual_is_low_sugar,silver_is_high_fibre,manual_is_high_fibre,silver_nova_class,manual_nova_class,silver_is_vegan,manual_is_vegan,silver_is_whole_grain,manual_is_whole_grain,silver_is_organic,manual_is_organic
3596710494194,Muesli fruits et baies,Auchan Bio,"Flocons d'AVOINE complets*, raisins secs* (raisins* 14%, huile de tournesol*), pétales de BLÉ*, baies de goji séchées* 4%, canneberges lyophilisées* 1%, myrtilles lyophilisées* 0,7%. *biologique. Traces éventuelles de fruits à coque, de soja, de lait, de graines de sésame, d'arachides.",0.5 kg,muesli,muesli,multigrain,multigrain,True,False,True,False,processed,processed,True,True,True,True,True,True
8001120847201,Fiocchi Croccanti con Frutta,"Bene si, Brüggen, Coop","Fiocchi di frumento integrale con crusca (85%) (frumento integrale (69%), crusca di frumento (12%), estratto di malto d'orzo, sale), miscela di frutta in pezzi (15%) (uvetta sultanina (7,6%), mele disidratate (2,2%), nocciole (tritate, tostate) (2,2%), chips di cocco (2,2%), banane liofilizzate (0,8%),",300 g,,muesli,,wheat,False,,True,True,processed,processed,,True,True,True,False,False
5010029000504,weetabix,Weetabix,"wholegrain _wheat_ (95%), malted _barley_ extract, sugar, salt, niacin, iron, riboflavin (b2), thiamin (bi), folic acid",225 gr,,other,,wheat,True,,True,,processed,processed,,True,True,True,False,False
7613032948719,Nestle Fitness Fruits Con Antiossidanti,Nestlé,"Cereali integrali 42,5% (_frumento_ integrale 37,3%, _avena_ integrale 5,2%), Riso 27,4%, Mix di frutta disidratata 25,7% [uvetta 10%, mirtilli rossi americani 5% (mirtilli rossi americani 3%, zucchero, umidifcante glicerolo, correttore di acidità acido citrico), ananas in pezzi 4,8% (ananas 3,7%, zucchero, correttore di acidità acido citrico, antiossidante anidride _solforosa_), papaia in pezzi 3,7% (papaia 2,8%, zucchero, correttore di acidità acido citrico, antiossidante anidride _solforosa_), cocco in scaglie 2%, mela 0,5%], Zucchero, Sciroppo di zucchero di canna parzialmente invertito, Estratto di malto d'_orzo_, Vitamine e minerali: carbonato di calcio, niacina, ferro, acido pantotenico, vitamina B6, riboflavina, acido folico, Sale, Sciroppo di glucosio, Antiossidante estratto ricco di tocoferolo",325 g,,mixed,,multigrain,False,False,True,False,ultra_processed,ultra_processed,,False,True,True,False,False
5010477353115,Crunchy Oat Granola Raisin & Almond,Jordans,"Wholegrain OAT Flakes (68%), Sugar, Raisins (7%), Sunflower Oil, Sultanas, Whole & Sliced ALMONDS (3.5%), Honey (1%), Sunflower Seeds, Natural Flavouring.",750g,muesli,granola,multigrain,oat,False,False,True,False,ultra_processed,ultra_processed,False,False,True,True,False,False
8012666007035,Fibra STICKS,Carrefour,"Crusca di _frumento_ 78%, zucchero, estratto di malto d'_orzo_, glutine di _frumento_, farina di malto d'_orzo_, sale. Può contenere arachidi, frutta a guscio, prodotti a base di latte, soia e semi di sesamo.",375 g,,other,,wheat,False,False,True,True,ultra_processed,processed,,True,False,True,False,False
3350031931512,Céréales soufflées au chocolat Bio,MONOPRIX BIO !,"Farine de _blé_* - chocolat* en poudre 29% (sucre de canne*, poudre de cacao*) - farine complète de _blé_* - _avoine_* - sirop de malt d'_orge_* - sucre de canne* - émulsifiant : carbonate de calcium - extrait de vanille*.",375 g,,chocolate_cereal,,wheat,False,False,True,False,ultra_processed,ultra_processed,,True,False,True,True,True
3700214613931,Muesli croustillant choco bio Alter Eco,Alter Eco,"céréales complètes** (flocons d'avoine**, flocons de blé**, flocons de seigle**, flocons d'orge**), sucre de canne mascobado*, pépites de chocolat noir* 10% (pâte de cacao*, sucre de canne roux*, beurre de cacao*, émulsifiant : lécithine de tournesol, extrait naturel de vanille*) (cacao : 60% minimum), pétales de blé**, soufflettes de céréales cacaotées* (riz*, poudre de cacao maigre* : 6,9%, blé*, avoine*, orge*, sucre de canne*, malt d'orge*), noisettes*.",375 g,muesli,granola,multigrain,multigrain,False,False,True,False,ultra_processed,ultra_processed,,True,False,True,True,True
8001300804994,"Multigrain di Riso, Frumento integrale e Orzo","Despar, Spar","FIOCCHI ESTRUSI DI RISO, FRUMENTO INTEGRALE E ORZO CON FRUTTI ROSSI, ARRICCHITI CON 7 VITAMINE E FERRO INGREDIENTI: riso (47,5%), farina di frumento (grano) integrale (16,6%), farina di riso (8,1%), zucchero, farina di orzo (7,1%), mix di frutti liofilizzati in proporzione variabile (ciliegie, fragole, lamponi) (5%), glutine di frumen - to (grano), germe di grano, latte scremato in polvere, malto d'orzo, amido di frumento (grano), sale, emul - sionante: lecitina di soia; vitamine [acido folico (B9), vitamina B12, vitamina B6, acido pantotenico (B5), nia - cina, tiamina (B1), riboflavina (B2)], minerali (ferro). Può contenere arachidi, nocciole, mandorle, senape, semi di sesamo, solfiti.",300,,mixed,,multigrain,False,False,True,False,,ultra_processed,,False,True,True,False,False
7613032779566,chocapic,"Nestlé, Chocapic","Farine de BLÉ complet 37,5 %, farine de BLÉ 18,5 %, chocolat en poudre 18,1 % (sucre, cacao en poudre*), semoule de maïs, sirop de glucose, extrait de malt d'ORGE (ORGE, ORGE malté), huile de tournesol, carbonate de calcium, sucre, farine d'ORGE malté, émulsifiant : lécithines ; sel, arômes naturels, fer, vitamines B3, B5, D, B6, B1, B2, B9. Peut contenir du LAIT et des FRUITS À COQUE. *Bilan massique certifié Rainforest Alliance. www.ra.org/fr. Nestlé achète une quantité de cacao certifié Rainforest Alliance équivalente à celle nécessaire pour ce produit.",1000 g,chocolate_cereal,chocolate_cereal,,wheat,False,False,True,False,ultra_processed,ultra_processed,,False,True,True,False,False
