code,product_name,attr,silver,llm_assisted
2350965004079,Queso curado,milk_source,,mixed
2350965004079,Queso curado,texture,,hard
2350965004079,Queso curado,country_of_origin,,spain
2350965004079,Queso curado,fat_class,very_high,
2350965004079,Queso curado,is_ultra_processed,True,False
8003170043138,Pecorino Romano D.O.P.,texture,,hard
8003170043138,Pecorino Romano D.O.P.,fat_class,very_high,
5057172226085,Grated Four Cheese Blend,milk_source,,cow
5057172226085,Grated Four Cheese Blend,texture,,processed
5057172226085,Grated Four Cheese Blend,country_of_origin,,uk
5057172226085,Grated Four Cheese Blend,fat_class,high,
4006402038135,Almkäse cremig-mild,milk_source,,cow
4006402038135,Almkäse cremig-mild,country_of_origin,,germany
4006402038135,Almkäse cremig-mild,fat_class,medium,
4002671157751,Hüttenkäse Original,milk_source,,cow
4002671157751,Hüttenkäse Original,country_of_origin,,germany
4002671157751,Hüttenkäse Original,fat_class,low,
4002671157751,Hüttenkäse Original,is_ultra_processed,,False
20101411,Queso Fresco Natural,milk_source,,cow
20101411,Queso Fresco Natural,country_of_origin,,spain
20101411,Queso Fresco Natural,fat_class,high,
8007222205918,Ricottine,milk_source,,cow
8007222205918,Ricottine,fat_class,low,
20681111,Coeur de Savoie,texture,hard,soft
20681111,Coeur de Savoie,fat_class,very_high,
3123930711703,Emmental Français Sans additif,fat_class,high,
3285810043202,Cancoillotte IGP Ail 250g marque,milk_source,,cow
3285810043202,Cancoillotte IGP Ail 250g marque,texture,,processed
3285810043202,Cancoillotte IGP Ail 250g marque,fat_class,low,
3285810043202,Cancoillotte IGP Ail 250g marque,is_pdo,False,True
3285810043202,Cancoillotte IGP Ail 250g marque,is_ultra_processed,False,True
5000169567982,French Camembert,country_of_origin,,france
5000169567982,French Camembert,fat_class,medium,
5000169567982,French Camembert,is_ultra_processed,,False
52833227086,Queso cheddar suave en rebanadas,milk_source,,cow
52833227086,Queso cheddar suave en rebanadas,texture,,processed
52833227086,Queso cheddar suave en rebanadas,fat_class,very_high,
4104420076686,Emmentaler gerieben,country_of_origin,,switzerland
4104420076686,Emmentaler gerieben,fat_class,high,
4014500029658,Zottarella Minis - Classic,milk_source,,cow
4014500029658,Zottarella Minis - Classic,country_of_origin,italy,germany
4014500029658,Zottarella Minis - Classic,fat_class,medium,
3272320055535,Cancoillotte IGP Savagnin 250g marque,milk_source,,cow
3272320055535,Cancoillotte IGP Savagnin 250g marque,texture,,processed
3272320055535,Cancoillotte IGP Savagnin 250g marque,fat_class,low,
3272320055535,Cancoillotte IGP Savagnin 250g marque,is_pdo,False,True
3272320055535,Cancoillotte IGP Savagnin 250g marque,is_ultra_processed,False,True
5400141274288,Emmental,country_of_origin,france,switzerland
5400141274288,Emmental,fat_class,high,
3482010000015,Valbreso French Feta Cheese 600g,milk_source,,sheep
3482010000015,Valbreso French Feta Cheese 600g,texture,,fresh
3482010000015,Valbreso French Feta Cheese 600g,country_of_origin,,france
7501518475289,Queso tipo Chihuahua Montebello,milk_source,,cow
7501518475289,Queso tipo Chihuahua Montebello,texture,,other
7501518475289,Queso tipo Chihuahua Montebello,country_of_origin,,other
7501518475289,Queso tipo Chihuahua Montebello,fat_class,high,
7501518475289,Queso tipo Chihuahua Montebello,is_ultra_processed,True,False
3222110003925,Le Brebiou des Pyrénées,fat_class,high,
3252950008088,Camembert de Normandie,fat_class,medium,high
3252950008088,Camembert de Normandie,is_ultra_processed,,False
5052909781059,Mature Slices,milk_source,,cow
5052909781059,Mature Slices,texture,,processed
5052909781059,Mature Slices,country_of_origin,,uk
5052909781059,Mature Slices,fat_class,low,
8011608000011,Ricotta fresca,milk_source,,cow
8011608000011,Ricotta fresca,fat_class,low,
8011608000011,Ricotta fresca,is_ultra_processed,,False
8411394462121,Queso fresco de vaca y cabra,milk_source,,mixed
8411394462121,Queso fresco de vaca y cabra,country_of_origin,,spain
8411394462121,Queso fresco de vaca y cabra,fat_class,medium,
9352042001608,dairylea Cheddar,milk_source,,cow
9352042001608,dairylea Cheddar,texture,,processed
4056489125945,Manouri Cheese,milk_source,,mixed
4056489125945,Manouri Cheese,country_of_origin,,other
4056489125945,Manouri Cheese,is_pdo,True,False
8901262020015,Cheese slices,texture,,processed
3329770062252,Calin extra 0%,milk_source,,cow
3329770062252,Calin extra 0%,texture,,fresh
3329770062252,Calin extra 0%,country_of_origin,,france
