code,product_name,brands,ingredients_text,quantity,silver_milk_source,manual_milk_source,silver_texture,manual_texture,silver_country_of_origin,manual_country_of_origin,silver_fat_class,manual_fat_class,silver_is_pdo,manual_is_pdo,silver_is_organic,manual_is_organic,silver_is_ultra_processed,manual_is_ultra_processed
2350965004079,Queso curado,Hacendado,"Leche (leche pasteurizada de vaca 50%, leche pasteurizada de oveja (20%), leche pasteurizada de cabra (15%)), sal, cuajo, estabilizante (cloruro cálcico) y fermentos lácticos. Contiene conservadores (E-202 y E-235) y colorante (E172) en la corteza plástica no comestible.",400 g,,mixed,,hard,,spain,very_high,,False,False,False,False,True,False
8003170043138,Pecorino Romano D.O.P.,"Conad, Sapori Dintorni, Sardaformaggi","Latte di pecora, sale, caglio.",300 g,sheep,sheep,,hard,italy,italy,very_high,,True,True,False,False,False,False
5057172226085,Grated Four Cheese Blend,Asda,"Mozzarella Cheese 40% (Pasteurised _Milk_), Mild Coloured Cheddar Cheese 40% (Cheese (Pasteurised _Milk_), Colour (Carotenes)), Double Gloucester Cheese 9% (Cheese (Pasteurised _Milk_), Colour (Carotenes)), Monterey Jack Cheese 9% (Pasteurised _Milk_), Potato Starch.",200g,,cow,,processed,,uk,high,,False,False,False,False,True,True
4006402038135,Almkäse cremig-mild,Bergader,pasteurisierte Milch,150 g,,cow,soft,soft,,germany,medium,,False,False,False,False,False,False
4002671157751,Hüttenkäse Original,Gervais,"FRISCHKASE, MAGERMILCH - JOGHURT, SCHLAGRAHM, Speisesalz Bei maximal +8 °C",200g,,cow,fresh,fresh,,germany,low,,False,False,False,False,,False
20101411,Queso Fresco Natural,"Bio Organic, Lidl, Milbona","_Leche_¹ pasteurizada, cultivos microbianos, cuajo microbiano, sal marina. ¹ Procedente de agricultura ecológica.",160 g,,cow,fresh,fresh,,spain,high,,False,False,True,True,False,False
8007222205918,Ricottine,Nonno Nanni,"Siero di LATTE vaccino, crema di LATTE, sale, correttore di acidità: acido citrico.",2 x 100 g,,cow,fresh,fresh,italy,italy,low,,False,False,False,False,False,False
20681111,Coeur de Savoie,Saveurs de nos Régions,"_Lait_ cru, sel, présure, ferments lactiques (_lait_).",200g,cow,cow,hard,soft,france,france,very_high,,False,False,False,False,False,False
3123930711703,Emmental Français Sans additif,Entremont,"_Lait_ (Origine : France), sel, ferments lactiques.",160 g,cow,cow,hard,hard,france,france,high,,False,False,False,False,False,False
3285810043202,Cancoillotte IGP Ail 250g marque,Le Francomtois,"Metton (Lait écrémé pasteurisé, ferments lactiques, coagulant), eau, beurre, Ail de France (2.7%), sel de fonte : citrate de sodium, sel. Lait : origine France.",250 g,,cow,,processed,france,france,low,,False,True,False,False,False,True
5000169567982,French Camembert,Waitrose,French Camembert (milk),250 g,cow,cow,soft,soft,,france,medium,,False,False,False,False,,False
0052833227086,Queso cheddar suave en rebanadas,Joseph Farms,"Leche entera pasteurizada de vaca, cultivos lácticos, annatto norbixina, sal común, cuajo.  Contiene: Leche.",226 g,,cow,,processed,,,very_high,,False,False,False,False,True,True
4104420076686,Emmentaler gerieben,"Alnatura, Alnatura GmbH","MILCH*, Speisesalz, mikrobielles Lab, Käsereikulturen *aus biologischer Landwirtschaft",150 g,cow,cow,hard,hard,,switzerland,high,,False,False,True,True,False,False
4014500029658,Zottarella Minis - Classic,Zott,"_Milch_, Speisesalz, mikrobielles Lab, Säuerungsmittel: Citronensäure",150 g / 280 g,,cow,fresh,fresh,italy,germany,medium,,False,False,False,False,False,False
3272320055535,Cancoillotte IGP Savagnin 250g marque,"Fromagerie Milleret, Le Francomtois","Metton (Lait écrémé pasteurisé, ferments lactiques, coagulant), eau, beurre, vin blanc Savagnin 5.3% (Sulfites), sel de fonte : citrate de sodium, sel. Lait : origine France.",250 g,,cow,,processed,france,france,low,,False,True,False,False,False,True
5400141274288,Emmental,Everyday,"pasteurized cow's milk, salt, lactic ferments, microbial coagulant, may contain traces of eggs,",70 g,cow,cow,hard,hard,france,switzerland,high,,False,False,False,False,False,False
3482010000015,Valbreso French Feta Cheese 600g,Valbreso,"Pasteurized sheep's milk, salt, lactic starters, microbial rennet, calcium chloride.",600 g,,sheep,,fresh,,france,,,False,False,False,False,False,False
7501518475289,Queso tipo Chihuahua Montebello,Montebello,"Leche pasteurizada de vaca, Sal yodada, Cloruro de calcio, Cultivos lácticos, Cuajo y colorante natural (annatto).",1 kg,,cow,,other,,other,high,,False,False,False,False,True,False
