code,product_name,attr,silver,llm_assisted
4061458141482,Mandel Nuss,chocolate_type,,milk
4061458141482,Mandel Nuss,cocoa_percentage,,<30
80050117,Kinder Sorpresa,cocoa_percentage,,<30
80050117,Kinder Sorpresa,chocolate_extra,plain,filled
20029838,Hazelnut Milk Chocolate,cocoa_percentage,,<30
8410100036021,Chocolate negro sin gluten,cocoa_percentage,,30-50
8410100036021,Chocolate negro sin gluten,protein_class,med,low
8411066003096,Chocolate puro 86% organic República Dominicana,nutri_score_grade,D,E
4000417281005,Spekulatius,cocoa_percentage,,<30
4000417281005,Spekulatius,chocolate_extra,filled,with_cookie
8001120701695,Cioccolato fondente 85%,nutri_score_grade,D,E
3256220610605,Chocolat noir et noisettes entières Tablette de 200g,cocoa_percentage,,50-70
3560071005214,90% cacao noir,chocolate_extra,with_fruit,plain
3560071005214,90% cacao noir,nutri_score_grade,D,E
26054247,Chocolat dessert 52% cacao noir,protein_class,med,low
6430056595955,Big Protein Salted Caramel,chocolate_type,,milk
6430056595955,Big Protein Salted Caramel,cocoa_percentage,,<30
6430056595955,Big Protein Salted Caramel,contains_nuts,True,False
6430056595955,Big Protein Salted Caramel,protein_class,,high
4013320066355,Grand Noir Zarte Bitter Orange 70%,cocoa_percentage,50-70,70-85
4013320066355,Grand Noir Zarte Bitter Orange 70%,protein_class,med,low
7771718300128,Chocolate Blanco sabor a Menta,chocolate_type,milk,white
7771718300128,Chocolate Blanco sabor a Menta,cocoa_percentage,,<30
7771718300128,Chocolate Blanco sabor a Menta,chocolate_extra,plain,other
7771718300128,Chocolate Blanco sabor a Menta,protein_class,,low
8411066003089,Chocolate negro con almendras ecológico,cocoa_percentage,,50-70
8411066003089,Chocolate negro con almendras ecológico,contains_nuts,False,True
8411066003089,Chocolate negro con almendras ecológico,nutri_score_grade,D,E
3248652765183,Chocolat noir pâtissier dessert,cocoa_percentage,,50-70
3248652765183,Chocolat noir pâtissier dessert,chocolate_extra,with_fruit,plain
3248652765183,Chocolat noir pâtissier dessert,is_organic,False,True
3248652765183,Chocolat noir pâtissier dessert,protein_class,med,low
5000159510769,Smooth Milk Chocolate Bar (110g),cocoa_percentage,,<30
4000417025005,MARZIPAN DARK CHOCOLATE WITH MARZIPAN,chocolate_type,dark,filled
