code,product_name,brands,ingredients_text,quantity,lang,source,silver_chocolate_type,manual_chocolate_type,manual_chocolate_type_status,manual_chocolate_type_at,manual_chocolate_type_mode,manual_chocolate_type_note,silver_cocoa_percentage,manual_cocoa_percentage,manual_cocoa_percentage_status,manual_cocoa_percentage_at,manual_cocoa_percentage_mode,manual_cocoa_percentage_note,silver_contains_nuts,manual_contains_nuts,manual_contains_nuts_status,manual_contains_nuts_at,manual_contains_nuts_mode,manual_contains_nuts_note,silver_chocolate_extra,manual_chocolate_extra,manual_chocolate_extra_status,manual_chocolate_extra_at,manual_chocolate_extra_mode,manual_chocolate_extra_note,silver_is_organic,manual_is_organic,manual_is_organic_status,manual_is_organic_at,manual_is_organic_mode,manual_is_organic_note,silver_nutri_score_grade,manual_nutri_score_grade,manual_nutri_score_grade_status,manual_nutri_score_grade_at,manual_nutri_score_grade_mode,manual_nutri_score_grade_note,silver_protein_class,manual_protein_class,manual_protein_class_status,manual_protein_class_at,manual_protein_class_mode,manual_protein_class_note
5060270121893,Sea salt & Caramel 55%,Chocolate and Love,"Cocoa mass*, cane sugar*, cocoa butter*, caramel pieces* (10%) (cane sugar&quot;, whole milk powder&quot;, butter*, glucose syrup*), whole cane sugar*, sea salt (0.4%), vanilla pods*. *Certified organic. Cocoa, sugar, vanilla: traded in compliance with Fairtrade Standards, total 96%. Visit www.info.fairtrade.net. Cocoa: 55% minimum (chocolate). May contain hazelnuts, almonds, peanuts.",80 g,,pool_a_typical,dark,dark,confirmed,2026-05-15T15:29:21+00:00,llm,,50-70,50-70,confirmed,2026-05-15T15:29:21+00:00,llm,,True,True,confirmed,2026-05-15T15:29:21+00:00,llm,,with_caramel,with_caramel,confirmed,2026-05-15T15:29:21+00:00,llm,,True,True,confirmed,2026-05-15T15:29:21+00:00,llm,,E,D,override,2026-05-15T15:29:21+00:00,llm,,med,med,confirmed,2026-05-15T15:29:21+00:00,llm,
8003340033167,Lindor 70% Cacao extra fondente,Lindt LINDOR,"Pasta di cacao, zucchero, grasso vegetale (cocco, palmisti), burro di cacao, cacao magro, burro anidro, latte intero in polvere, emulsionante (lecitina di soia), latte scremato in polvere, lattosio, bacche di vaniglia, aromi, estratto di malto d'orzo.",100 g,,pool_a_typical,dark,filled,override,2026-05-15T15:29:21+00:00,llm,,50-70,70-85,override,2026-05-15T15:29:21+00:00,llm,,False,False,confirmed,2026-05-15T15:29:21+00:00,llm,,filled,filled,confirmed,2026-05-15T15:29:21+00:00,llm,,False,False,confirmed,2026-05-15T15:29:21+00:00,llm,,E,E,confirmed,2026-05-15T15:29:21+00:00,llm,,med,med,confirmed,2026-05-15T15:29:21+00:00,llm,
8001120929396,Cioccolato fondente extra biologico 70%,"Coop,Vivi Verde","Pasta di cacao*, zucchero di canna*, burro di cacao*, vaniglia macinata*. *Biologico. Può contenere latte, nocciole, mandorle, pistacchi, anacardi. SENZA GLUTINE.",100 g,,pool_a_typical,dark,dark,confirmed,2026-05-15T15:29:21+00:00,llm,,50-70,70-85,override,2026-05-15T15:29:21+00:00,llm,,True,True,confirmed,2026-05-15T15:29:21+00:00,llm,,with_nuts,plain,override,2026-05-15T15:29:21+00:00,llm,,True,True,confirmed,2026-05-15T15:29:21+00:00,llm,,E,,empty,,,,med,,empty,,,
3250392556181,Tablette BIO dégustation - Chocolat noir Pérou 85% - 100g,"Ivoria, Intermarché","Pâte de cacao* du Pérou, beurre de cacao* sucre*. Cacao: 85% minimum dans le chocolat noir. *Ingrédients issus de l'agriculture biologique. Traces éventuelles de fruits à coque, céréales contenant du gluten et lait.",100 g,,pool_a_typical,dark,dark,confirmed,2026-05-15T15:29:21+00:00,llm,,85+,85+,confirmed,2026-05-15T15:29:21+00:00,llm,,False,False,confirmed,2026-05-15T15:29:21+00:00,llm,,with_fruit,plain,override,2026-05-15T15:29:21+00:00,llm,,True,True,confirmed,2026-05-15T15:29:21+00:00,llm,,D,E,override,2026-05-15T15:29:21+00:00,llm,,med,high,override,2026-05-15T15:29:21+00:00,llm,
8437001415922,Tableta de chocolate negro 58% cacao - DESCATALOGADO,Intermon Oxfam,"Pasta de cacao*^, azúcar de caña integral*^, manteca de cacao*^ (* Ingredientes procedentes de la agricultura ecológica). (^ Ingredientes procedentes de Comercio Justo). (Cacao: 58% mínimo)",100 g,,pool_a_typical,dark,dark,confirmed,2026-05-15T15:29:21+00:00,llm,,50-70,50-70,confirmed,2026-05-15T15:29:21+00:00,llm,,False,False,confirmed,2026-05-15T15:29:21+00:00,llm,,plain,plain,confirmed,2026-05-15T15:29:21+00:00,llm,,True,True,confirmed,2026-05-15T15:29:21+00:00,llm,,E,,empty,,,,med,,empty,,,
8480000121882,Tableta de chocolate negro con almendras 55% cacao,Hacendado,"Pasta de cacao, azúcar, _almendras_ enteras (25%), manteca de cacao, emulgente: lecitina de girasol (E-322) y aroma: vainillina. Cacao: 55 % mínimo.",200 g,,pool_a_typical,dark,dark,confirmed,2026-05-15T15:29:21+00:00,llm,,50-70,50-70,confirmed,2026-05-15T15:29:21+00:00,llm,,False,True,override,2026-05-15T15:29:21+00:00,llm,,with_nuts,with_nuts,confirmed,2026-05-15T15:29:21+00:00,llm,,False,False,confirmed,2026-05-15T15:29:21+00:00,llm,,E,,empty,,,,med,,empty,,,
8002330102425,Cioccolato extra fine 90% di cacao,"Esselunga, Esselunga Top","Pasta di cacao, burro di cacao, zucchero di canna, baccelli di vaniglia.",100 g,,pool_a_typical,dark,dark,confirmed,2026-05-15T15:29:21+00:00,llm,,85+,85+,confirmed,2026-05-15T15:29:21+00:00,llm,,False,False,confirmed,2026-05-15T15:29:21+00:00,llm,,plain,plain,confirmed,2026-05-15T15:29:21+00:00,llm,,False,False,confirmed,2026-05-15T15:29:21+00:00,llm,,D,E,override,2026-05-15T15:29:21+00:00,llm,,med,high,override,2026-05-15T15:29:21+00:00,llm,
8411066003119,Chocolate negro 73% República Dominicana Endulzado con Agave Ecológico,Chocolates Solé,"Cacao*, sirope de agave*, manteca de cacao*, inulina de agave* y vainilla*. (* Ingredientes procedentes de la agricultura ecológica). Cacao: 73% mínimo.",100 g,,pool_a_typical,dark,dark,confirmed,2026-05-15T15:29:21+00:00,llm,,70-85,70-85,confirmed,2026-05-15T15:29:21+00:00,llm,,False,False,confirmed,2026-05-15T15:29:21+00:00,llm,,plain,plain,confirmed,2026-05-15T15:29:21+00:00,llm,,True,True,confirmed,2026-05-15T15:29:21+00:00,llm,,E,,empty,,,,med,,empty,,,
8410109050882,Chocolate Negro 70% 0% Azúcares Añadidos,Valor,"Pasta de cacao, maltitol, cacao magro en polvo, manteca de cacao, emulsionante (lecitina (soja)), GLICÓSIDOS DE ESTEVIOL, aromatizantes naturales. Caao 70% mínimo.",100 g,,pool_a_typical,dark,dark,confirmed,2026-05-15T15:29:21+00:00,llm,,50-70,70-85,override,2026-05-15T15:29:21+00:00,llm,,False,False,confirmed,2026-05-15T15:29:21+00:00,llm,,plain,plain,confirmed,2026-05-15T15:29:21+00:00,llm,,False,False,confirmed,2026-05-15T15:29:21+00:00,llm,,D,,empty,,,,med,,empty,,,
3700214611548,Noir equitable 85% Pérou,Alter Eco,"Pâte de cacao (Pérou), sucre de canne, beurre de cacao. Peut contenir du soja, du lait et des fruits à coque.",100 g e,,pool_a_typical,dark,dark,confirmed,2026-05-15T15:29:21+00:00,llm,,85+,85+,confirmed,2026-05-15T15:29:21+00:00,llm,,False,False,confirmed,2026-05-15T15:29:21+00:00,llm,,with_fruit,plain,override,2026-05-15T15:29:21+00:00,llm,,True,False,override,2026-05-15T15:29:21+00:00,llm,,D,E,override,2026-05-15T15:29:21+00:00,llm,,med,high,override,2026-05-15T15:29:21+00:00,llm,
8410109103205,Chocolate negro 82%,Valor,"82% cocoa paste, defatted cocoa powder, cocoa butter, sugar, emulsifiers: soy iecitin, natural vanilla aroma,",170 g,,pool_a_typical,dark,dark,confirmed,2026-05-15T15:29:21+00:00,llm,,70-85,70-85,confirmed,2026-05-15T15:29:21+00:00,llm,,False,False,confirmed,2026-05-15T15:29:21+00:00,llm,,plain,plain,confirmed,2026-05-15T15:29:21+00:00,llm,,False,False,confirmed,2026-05-15T15:29:21+00:00,llm,,E,E,confirmed,2026-05-15T15:29:21+00:00,llm,,med,high,override,2026-05-15T15:29:21+00:00,llm,
3560070669981,80% cacao noir,Carrefour,"Pâte de cacao (fèves de cacao* d'origine Côte d'Ivoire), sucre, beurre de cacao, arôme naturel de vanille. Cacao : 80% minimum. Peut contenir des traces de fruits à coque, de céréales contenant du gluten et de lait. *Fèves de cacao issues du programme TRANSPARENCE CACAO.",80 g,,pool_a_typical,dark,dark,confirmed,2026-05-15T15:29:21+00:00,llm,,70-85,70-85,confirmed,2026-05-15T15:29:21+00:00,llm,,False,False,confirmed,2026-05-15T15:29:21+00:00,llm,,with_fruit,plain,override,2026-05-15T15:29:21+00:00,llm,,False,False,confirmed,2026-05-15T15:29:21+00:00,llm,,D,,empty,,,,med,,empty,,,
8002330017583,cioccolato 70% Ecuador,"Domori, Esselunga, Top","Pasta di cacao, zucchero di canna",100 g,,pool_a_typical,dark,dark,confirmed,2026-05-15T15:29:21+00:00,llm,,50-70,70-85,override,2026-05-15T15:29:21+00:00,llm,,False,False,confirmed,2026-05-15T15:29:21+00:00,llm,,plain,plain,confirmed,2026-05-15T15:29:21+00:00,llm,,False,False,confirmed,2026-05-15T15:29:21+00:00,llm,,E,,empty,,,,med,,empty,,,
