code,product_name,brands,ingredients_text,quantity,silver_chocolate_type,manual_chocolate_type,silver_cocoa_percentage,manual_cocoa_percentage,silver_contains_nuts,manual_contains_nuts,silver_chocolate_extra,manual_chocolate_extra,silver_is_organic,manual_is_organic,silver_nutri_score_grade,manual_nutri_score_grade,silver_protein_class,manual_protein_class
4061458141482,Mandel Nuss,Moser Roth,"Zucker, Kakaobutter, _Vollmilchpulver_ (20%), gehackte _Mandeln_, gehackte _Haselnüsse_, Kakaomasse, _Butterreinfett_, Emulgator Lecithine (_Soja_), Vanilleextrakt.",125 g,,milk,,<30,True,True,with_nuts,with_nuts,False,False,E,E,med,med
80050117,Kinder Sorpresa,kinder,"Cioccolato finissimo at LATTE 47% (zucchero, LATTE intero polvere, burro di cacao, pasta di cacao, emulsionanti: lecitine (S01A), vanillina), LATTE scremato in polvere, zucchero, grassi vegetale (palma, karité), BURRO anidro, emulsionanti: lecitine (SOIA), vanillina,",20g,milk,milk,,<30,False,False,plain,filled,False,False,E,E,med,med
20029838,Hazelnut Milk Chocolate,fin CARRE,"sugar, cocoa butter, 12% hazelnuts, skimmed milk powder, cocoa mass, whey powder (milk), concentrated butter (milk), hazelnut paste, emulsifier: lecithin (soy), vanilla extract",100g,milk,milk,,<30,True,True,with_nuts,with_nuts,False,False,E,E,med,med
8410100036021,Chocolate negro sin gluten,Nestlé,"Azúcar, cacao, manteca de cacao, emulgente: lecitina de girasol (E-322) y aromas naturales de vainilla. Cacao: 49% mínimo",300 g,dark,dark,,30-50,False,False,plain,plain,False,False,E,E,med,low
8411066003096,Chocolate puro 86% organic República Dominicana,Chocolates Solé,"Cacao*, Azúcar de caña*, Manteca de cacao* y Vainilla*. *Ingredientes de roducción ecológica Trazas de frutos secos y leche.",100 g,dark,dark,85+,85+,False,False,plain,plain,True,True,D,E,med,med
4000417281005,Spekulatius,RITTER SPORT,"Zucker, Palmfett, Kakaobutter, Kakaomasse, _Vollmilchpulver_, _Weizenmehl_, _Magermilchpulver_, _Laktose_, _Butterreinfett_, _Butter_ (1 %), Gewürze, Emulgator: Lecithine (_Soja_), _Weizenstärke_, Glukose-Fruktose-Sirup, Salz, _Süßmolkenpulver_, Karamellzuckersirup.",100g,milk,milk,,<30,False,False,filled,with_cookie,False,False,E,E,med,med
8001120701695,Cioccolato fondente 85%,Coop,"Pasta di cacao, burro di cacao, cacao magro in polvere, zucchero di canna, aroma naturale di vaniglia.",100g,dark,dark,85+,85+,False,False,plain,plain,False,False,D,E,med,med
3256220610605,Chocolat noir et noisettes entières Tablette de 200g,U,"Pate de cacao* (cote d'ivoire), sucre, NOISETTES entieres 25%, MATIERE GRASSE LAITIERE anhydre, beurre de cacao, émulsifiant : lecithines, arome naturel de vanille. Cacao : 54% minimum dans le chocolat noir seul. traces eventuelles d'autres fruits a coque et de cereales contenant du gluten. *feves de cacao provenant du programme transparence cacao.",200 g,dark,dark,,50-70,True,True,with_nuts,with_nuts,False,False,E,E,med,med
3560071005214,90% cacao noir,Carrefour,"Pâte de cacao, beurre de cacao, sucre, cacao maigre en poudre, arôme naturel de vanille. Cacao : 90% minimum. Peut contenir des traces de céréales contenant du gluten, d'œufs, de soja, de lait et de fruits à coque.",80 g,dark,dark,85+,85+,False,False,with_fruit,plain,False,False,D,E,med,med
26054247,Chocolat dessert 52% cacao noir,Isaura,"Pâte de cacao', sucre, beurre de cacao', émulsifiant : lécithines, arôme naturel.  'Certifié Rainforest Alliance. Cacao: 52% minimum.",200 g,dark,dark,50-70,50-70,False,False,plain,plain,False,False,E,E,med,low
6430056595955,Big Protein Salted Caramel,Puls Nutrition,"Milk chocolate with maltitol 22 % (sweetener: maltitol; cocoa butter, whole milk powder, cocoa mass, emulsifier: lecithin; flavor), pas Caramel flavor 14% humidant: glycerol; maltodextrin, oligofructose (fibre), repeseed oil, sweetener: maltitol; thickener: gum arabic; whey protein concentrate, water, color: plain caramel; natural flavors, emulsifier: lecithin; salt], hydrolyzed sian peptides 11 %, sweelener: maltitol; humectant glycerol, soya proteia 7.2%, milk protein concentrate 5,6 %, whey protein concentrate 5,6% (whey protein concentrate, emulsifier: lecithin), soya protein extrudates 5% (soyap water, grated whole milk powder, salt 0,3 %, thickener, gum arabic; emulsifier, mono - and diglycerides of fatty acids; flavors, antioxidant: tocopherol-rich extract. May contain peanuts and nuts may have laxative effects. EE BIC PROTEIN mellimaitseline proteiinibatoon sojakrõpsudega. 80 g. Gluteenivaba. Sisaldab magusainet. Ei ole lisatud suhkrut Sisaldab looduslikult esinevaid suhkruid. Koostis: pimas toolga 22% (mag paksenda mma aine dl p pejamo em Excessive ad ma maltit",80,,milk,,<30,True,False,with_caramel,with_caramel,False,False,,,,high
4013320066355,Grand Noir Zarte Bitter Orange 70%,Gepa,"Kakaomasse*, Vollrohrzucker*, Kakaobutter°*, Kakaopulver*, 0,1% Orangenöl*.",100 g,dark,dark,50-70,70-85,False,False,with_fruit,with_fruit,True,True,E,E,med,low
7771718300128,Chocolate Blanco sabor a Menta,Chocolates Ruah,"Manteca de cacao, leche en polvo, stevia, aroma natural de menta, emulsionante (lecitina de Soja).","58 g | 2,1 oz",milk,white,,<30,False,False,plain,other,False,False,E,E,,low
8411066003089,Chocolate negro con almendras ecológico,Chocolates Solé,"Cacao*, _almendras_* (23%), azúcar de caña*, manteca de cacao* y vainilla*. (* Ingredientes procedentes de la agricultura ecológica). (Cacao: 56% mínimo).",150 g,dark,dark,,50-70,False,True,with_nuts,with_nuts,True,True,D,E,med,med
