code,product_name,brands,ingredients_text,quantity,silver_product_type,manual_product_type,silver_form_factor,manual_form_factor,silver_target_audience,manual_target_audience,silver_fragrance_status,manual_fragrance_status,silver_is_vegan,manual_is_vegan,silver_is_organic,manual_is_organic
5902539706741,SPF 50 PA,Nacomi,,50 ml,,sunscreen,cream_gel,,unisex,,,unknown,False,False,False,False
3014260331306,Gillette Mach 3 Turbo,Gillette,,1,,other,,,unisex,men,,unknown,False,False,False,False
4015100428407,Nature Box Nährpflege Shampoo Für intensive Pflege,Nature Box,,385 mL,shampoo,shampoo,liquid,liquid,unisex,unisex,,unknown,True,False,False,False
3560071176204,Dentifrice Expert 8,Carrefour,"AQUA, SORBITOL, HYDRATED SILICA [NANO], CALCIUM CARBONATE, TETRAPOTASSIUM PYROPHOSPHATE, SODIUM LAURYL SULFATE, AROMA, CELLULOSE GUM, SODIUM MONOFLUOROPHOSPHATE, SODIUM SACCHARIN, SODIUM BENZOATE, SODIUM FLUORIDE, ZINC CITRATE, CETYLPYRONIUM CHLORIDE, CI 77492, CI 77491",75 ml,toothpaste,toothpaste,,cream_gel,unisex,unisex,fragranced,fragranced,False,False,False,False
4103040109897,fresh deodorant,Seba med,,75 ml,deodorant,deodorant,,,unisex,unisex,,unknown,False,False,False,False
4210201299783,Pulsonic Clean Aufsteckbürsten,Oral-B,,2 pcs,,other,,other,unisex,unisex,,,False,False,False,False
0813606028916,Silicone Body Scrubber,Clean Logic,Silicone,1,,other,,other,unisex,unisex,,fragrance_free,False,True,False,False
3489940049213,Shampooing antipelliculaire  cade-sauge-rhassoul,Laboratoire Gravier,"aqua, lavandula angustifolia water coco-betaine, coco-glucoside, coco-glucoside (and) glyceryl oleate, sodium chloride, lauryi glucoside, moroccan lava clay, juniperus oxycedrus tar, salvia officinalis oil';, glycerin*, parfum* (organic essential oil), potassium sorbate, sodium dehydroacetate, citric acid, limonene**",500 ml,shampoo,shampoo,liquid,liquid,unisex,unisex,fragranced,fragranced,False,True,True,True
3700376703044,Dentifraise bio,Bioseptyl,"Ingredients Water, Glycerin**, Hydrogenated starch hydrolysate, Hydrated silica, Cellulose gum, Aroma, Potassium sorbate, Sodium benzoate, Decyl glucoside, Stevia rebaudiana extract*, Citric acid, C77491 *ingrédients issus de l'Agriculture Biologique/Ingredients from Organic Farming **Transformés à partir d'ingrédients biologiques/Made using organic ingrédients 98.4% du total est d'origine naturelle/98.4% natural origin of total 19.4% du total des ingrédients sont issus de l'Agriculture Biologique/ 19.4% organic of total",50 ml,toothpaste,toothpaste,,cream_gel,children,unisex,fragranced,fragranced,False,True,False,True
8470002057654,Enjuague bucal antiplaca,Lacer,,,,other,,liquid,unisex,unisex,,unknown,False,False,False,False
8001280026027,Talco fresco,Frlce azzurea,,200,,other,,powder,unisex,unisex,,fragranced,False,False,False,False
7709990584561,Shampoo Hidratante Coco,Naissant,"Aqua, Sodium Laureth Sulfate, Lauryl Glucoside, Cocamidopropyl Betaine, Styrene/Acrylates Copolymer (And) Coco-Glucoside, Coco-Glucoside / Glyceryl Oleate, Polyquaternium-7, Amodimethicone And Cetrimonium Chloride And Trideceth12, Guar Hydroxypropyltrimonium Chloride, Glycerin, Sodium Hydroxide, Disodium EDTA, Parfum (Fragrance), Panthenol, DMDM Hydantoin, Methylchloroisothiazolinone (And) Methylisothiazolinone, Tocopheryl Acetate, Mel, Hydrolyzed Wheat Protein, Citric Acid, Olea Europaea Oil, Cocos Nucifera Oil.",300 ml,,shampoo,liquid,liquid,unisex,unisex,fragranced,fragranced,False,False,False,False
00061774,Cube pétillant pour le bain Vanille,Yves Rocher,"sodium bicarbonate, citric acid, monosodium citrate, maltodextrin, talc, parfum/fragrance, PEG-150, silica, amyl cinnamal, hexyl cinnamal, limonene, CI 14700 (red 4), CI 19140 (yellow 3), CI 42090 (blue 1).",20 g,shower_gel,other,powder,solid_bar,unisex,unisex,fragranced,fragranced,False,True,False,False
3178041340519,Gel lavant mains douceur fruité,"Henkel, Le Chat",,500 ml,soap,soap,cream_gel,liquid,unisex,unisex,,fragranced,False,False,False,False
3215774118005,Gel apaisant de toilette intime confort extrême à l'aloe vera,"Intima, Reckitt Benckiser","aqua, sodium myreth sulfate, cocamide DEA, aloe barbadensis extract, cocamidopropyl betaine, PEG-150 distearate, boswellia serrata gum, parfum, glycerin, lactic acid, PEG-7 glyceril cocoate, dipropylene glycol, sodium chloride, glutaral, propylene glycol, methylisothiazolinone, iosopropynyl butylcarbamate, disodium EDTA, sodium benzoate, citric acid, ascorbic acid, sodium sulfite, potassium sorbate.",200ml,shower_gel,other,cream_gel,cream_gel,unisex,women,fragranced,fragranced,False,False,False,False
0088300605309,Calvin Klein Eternity For Men - Eau de Toilette    50ml,Calvin Klein,,50,,other,,liquid,men,men,,fragranced,False,False,False,False
4047196053836,Dezodorant w sztyfcie,rossman,"BUTYROSPERMUM PARKII BUTTER SODIUM BICARBONATE, ZEA MAYS STARCH, THEOBROMA CACAO SEED BUTTER, PRUNUS AMYGDALUS DULCIS DIL, RHUS VERNICIFLUA PEEL CERA, HYDROGENATED VEGETABLE OIL, HELIANTHUS ANNUUS SEED OIL TOCOPHEROL, PARFUM, CITRONELLOL EUGENOL GERANIOL, LINALOOL",40g,deodorant,deodorant,cream_gel,stick,unisex,unisex,fragranced,fragranced,True,True,True,False
