code,product_name,brands,ingredients_text,quantity,silver_grain_type,manual_grain_type,silver_is_filled,manual_is_filled,silver_is_organic,manual_is_organic,silver_is_gluten_free,manual_is_gluten_free,silver_pasta_shape,manual_pasta_shape,silver_is_vegan,manual_is_vegan,silver_nutri_score_grade,manual_nutri_score_grade,silver_protein_class,manual_protein_class
## ЛЕГЕНДА (не заполнять — удалить эту строку перед сохранением),,,,,(текущий эталон),wheat|rice|corn|buckwheat|oat|mixed|other,(текущий эталон),True / False / None,(текущий эталон),True / False / None,(текущий эталон),True / False / None,(текущий эталон),spaghetti|penne|fusilli|macaroni|farfalle|tagliatelle|lasagna|noodles|rigatoni|vermicelli|linguine|other|None,(текущий эталон),True / False / None,(текущий эталон),A|B|C|D|E|None,(текущий эталон),0|low|med|high|None
4056489255499,Schoko Müsli,"Crownfield,Lidl,Brüggen","63% Hafervollkornflocken, Vollmilchschokoladenstücke (Zucker, Kakaomasse*, Vollmilchpulver, Kakaobutter*, Emulgator: Lecithine), Zartbitterschokoladenplättchen (Kakaomasse, Zucker, Kakaobutter*, Emulgator: Lecithine), Reis-Kakao-Extrudat (Reismehl, Zucker, Glukosesirup, fettarmes Kakaopulver*, Speisesalz), Knuspermüsli [Hafervollkornflocken, Zucker, Palmöl, Weizenvollkornflocken, Reis-Extrudat (Reismehl, Zucker, Weizenkleber, Malzmehl (Gerste, Weizen), Speisesalz), Kokosraspel, kakaohaltiges Getränkepulver (Zucker, fettarmes Kakaopulver*, Dextrose, Speisesalz, natürliches Aroma), Glukose-Fruktose-Sirup, natürliches Aroma], 2% Mandeldragee (Zucker, Mandeln, Invertzuckersirup, Karamellzuckersirup). Kann Spuren von anderen Schalenfrüchten, Erdnüssen, Soja, Sesam, Senf und Lupinen enthalten.",750g,,,False,,False,,False,,,,False,,C,,med,
8001120895721,Tempestina,"Coop, Ghigi",Semola di grano duro,500 g,,,False,,,,,,,,,,A,,med,
76808000221,Tortellini Three Cheese,Barilla,"SEMOLINA (WHEAT), DURUM WHEAT FLOUR, RICOTTA CHEESE (CULTURED WHEY, CREAM), EGGS, BREAD CRUMBS (WHEAT FLOUR, YEAST, SALT), SUNFLOWER OIL, NATURAL FLAVOR, OAT FIBER, EMMENTALER CHEESE (CULTURED MILK, SALT, ENZYMES), WHEY PROTEIN CONCENTRATE POTATO FLAKES, SALT, GRANA PADANO CHEESE PDO (CULTURED MILK, SALT, ENZYMES), CHEESE POWDER (CULTURED MILK, SALT, ENZYMES).",12 oz,wheat,,True,,False,,False,,,,False,,D,,med,
8437008739120,Arroz con leche de vaca,Los Caserinos,"Leche pasteurizada de vaca (78%), azúcar (14,4%), arroz (7%), canela (0,4%), anís (0,1%) y sal (0,1%).",200 g,,,False,,False,,True,,,,False,,C,,low,
2000000145801,Maicena,"Granero,Difan",Almidón de maíz.,200 g,,,False,,,,,,,,,,,,,
4311501634295,Schoko Müsli,Gut & Günstig,"52% _Hafervollkornflocken_, 17% Zartbitterschokoladenplättchen (Kakaomasse, Zucker, Kakaobutter, Emulgator: Lecithine), Weizen-Kakao-Extrudat (_Weizenmehl_, Zucker, fettarmes Kakaopulver, _Weizenstärke_, _Gerstenmalzextrakt_), Knuspermüsli (_Hafervollkornflocken_, Zucker, Palmfett, _Weizenvollkornflocken_, Getreide-Extrudat [Reismehl, Zucker, _Weizengluten_, _Gerstenmalzmehl_, _Weizenmalzmehl_, Speisesalz], Kokosraspel, kakaohaltiges Getränkepulver [Zucker, fettarmes Kakaopulver, Dextrose, Speisesalz], Glukose-Fruktose-Sirup), 8% Vollmilchschokoladenstücke (Zucker, Kakaomasse, _Vollmilchpulver_, Kakaobutter, Emulgator: Lecithine), 0,8 % _Haselnusskrokant_ (Zucker, _Haselnusskerne_ gehackt und geröstet).",750g,,,False,,False,,False,,,,False,,C,,med,
8001665124614,Sfogliagrezza tortellini carne,Giovanni Rana,"Pasta 61%; farina di grano tenero, uovo 30%, semola di grano duro. Ripieno 39%: carne di suino 67%, pangrattato (farina di grano tenero, acqua, sale, lievito), siero di latte in polvere, aromi naturali, sale, noce moscata, pepe nero. Può contenere frutta a guscio, pesce, crostacei, molluschi, sedano, soia e senape.",250g,wheat,,True,,False,,False,,,,False,,D,,med,
3560070877546,Le Gourmand Céréales et Graines,Carrefour,"Farine de _blé_ 47%, eau, flocons de _blé_ malté toasté 9.7%, gluten de _blé_, graines de tournesol décortiquées 3.4%, levure, flocons de _blé_ 2.1%, flocons de _seigle_ malté 1.9%, sucre, huile de colza, sel, vinaigre d'alcool, émulsifiant : mono - et diglycérides d'acides gras, conservateur : propionate de calcium, graines de lin brun 0.2%, graines de millet décortiquées 0.2%, graines de pavot bleu 0.2%, farine d'_orge_ maltée toastée 0.2%, farine d'_orge_ maltée torréfiée 0.06%, antioxydant : acide ascorbique. Peut contenir des traces de soja, moutarde et graines de sésame.",500 g,,,False,,False,,False,,,,False,,C,,med,
3218930312002,Even - Bouillie d'avoine Tradition Bretonne,Even,"Eau, Farine d'avoine 20%, _lait_, sel",600 g,,,False,,False,,False,,,,False,,B,,low,
7613404744253,Mezzelune Alla carne di manzo,Anna’s best,"Fins finots de blé dur, eau, œufs 7% (d'éle - vage en plein air), mortadelle 6% (viande de porc, lard, langue de porc, couennes, sel nitrité pour saumure [sel de cuisine iodé, conservateur: E250], maltodextrine, sucre, exhausteur de goût: E621, arômes, antioxydants: E301 et E331, épices), chapelure (farine de blé, sel de cuisine, levure), viande de bœuf 2,5%, sauce tomate 2,5% (tomates, sucre, sel de cuisine, acidifiant: E330, origan), huile de colza, carottes, mozzarella (fromage), oignons, purée de tomate 0,7%, sel de cuisine iodé, herbes aromatiques (persil, romarin, thym), ail, crème en poudre, arôme naturel, poivre noir.",800g,wheat,,True,,False,,False,,,,False,,C,,med,
536257,Penne,Sainsbury's,Durum _Wheat_ Semolina.,1kg,wheat,,False,,False,,False,,penne,,False,,,,,
4316268449434,Studentenfutter mit Cranberries,Clarkys,"40 % getrocknete und gezuckerte Cranberries (61 % Cranberries, Zucker, Sonnenblumenöl), 30 % geröstete Erdnusskerne, 10% Cashewkerne, 10% blanchierte Mandeln, 10% Walnusskerne.",275g,,,False,,False,,False,,,,False,,D,,med,
8428159006421,Seitán ahumado,Natursoy,"Harina de _trigo_ (56%)*, agua, tamari* [_soja_*, agua, sal marina, mikawa mirin* (arroz dulce*, agua, arroz*), harina de _cebada_ tostada*, koji (Aspergillus oryzae)], ajo en polvo*, jengibre*, alga kombu. Ahumado con madera de haya..",250 g,,,False,,True,,False,,,,True,,A,,high,
7771224005555,Proactive+ sabor Manzana con Müsli,"Delizia Lácteos,Proactive+,Delizia","Yogurt 80% [Leche fluida, azúcar, fibra dietaria (polidextrosa), cultivos lácticos (Lactobacillus bulgaricus, Streptococcus thermophilus), cultivos probióticos (Lactobacillus acidophilus, bifidobacterium), regulador de la acidez (SIN-331), estabilizantes (SIN-440, SIN-1421, gelatina), conservantes (SIN-202, SIN-211), saborizante idéntico al natural manzana], Müsli 20% [Hojuelas de avena instantánea, hojuelas de trigo, quinua insuflada, azúcar, miel de abejas, frutas liofilizadas].",125 g,,,False,,False,,False,,,,False,,,,low,
3270190182108,Tagliatelles aux oeufs,Carrefour BIO,"Semoule de _blé_ dur biologique de qualité supérieure, _œufs_ entiers biologiques 21%. Peut contenir des traces de soja, de moutarde et de fruits à coques.",250 g,wheat,,False,,True,,False,,noodles,,False,,A,,med,
528207,Baguette Garlic Butter,M&S Food,"Wheatflour contains Gluten (with Wheatflour, Calcium Carbonate, Iron, Niacin, Thiamin), Unsalted Butter (Milk), Water, Yeast, Wheat Fibre, Garlic Purée, Salt, Lemon Juice, Parsley, Flour Treatment Agent: Ascorbic Acid",210g,,,False,,False,,False,,,,False,,D,,med,
36632075321,oat,Silk,"Oat base (filtered water, gluten-free oat flour), Vegetable oil, Vitamins and minerals (calcium carbonate, zinc gluconate, vitamin A palmitate, riboflavin [B2], vitamin D2, vitamin B12), Dipotassium phosphate, Sea salt, Locust bean gum, Gellan gum, Ascorbic acid, Tocopherols, Natural flavour, Amylase.",1.75 L,oat,,False,,False,,True,,,,True,,B,,0,
42414964,Grandios Milchreis,"Grandiso, Netto","70% Vollmilch, 15% Kirschzubereitung (31% Kirschen¹, 23% Kirschsaft² aus Kirschsaftkonzentrat, Zucker, Wasser, modifizierte Stärke, färbendes Lebensmittel: Rote-Bete-Saftkonzentrat, schwarzes Karottenkonzentrat; Verdickungsmittel: Johannisbrotkernmehl, Guarkernmehl, Xanthan; natürliches Aroma, Säureregulator Natriumcitrate, Äpfelsäure), 9% Rundkornreis, Zucker,  Stärke, Speisesalz, Verdickungsmittel: Carrageen.",200g,,,False,,False,,False,,,,False,,C,,low,
3560071139902,Mais 3x140gr Sans sucres ajoutés,Carrefour,"Maïs doux en grains sans OGM(3), eau, sel. (1) Contient des sucres naturellement présents",3x150 g,corn,,False,,False,,False,,,,False,,B,,low,
8422584026177,Biotostadas con castañas,El granero integral,"Harina de arroz*, harina de castaña* (30%), sal marina. Contiene gluten. (* Ingredientes procedentes de la agricultura ecológica).",90 g (18 x 5 g),,,False,,True,,True,,,,True,,C,,med,
5099801003315,Organic Porridge Oats,Flahavan's,100% Organic Wholegrain Rolled _Oats_,1 kg,oat,,False,,True,,False,,,,False,,A,,med,
5010251743422,Super Smooth porridge,Morrisons,"Oats (59%), Oat flour (38%), Calcium carbonate, Niacin, Iron, Riboflavin (B2), Vitamin B6, Thiamin (B1), Folic acid, Vitamin D, Vitamin B12.",450g,,,False,,False,,False,,,,False,,A,,med,
9120087696000,Haferflocken,Echt bio,"Eine abwechslungsreiche, ausgewogene Ernährung, Bewegung und eine gesunde Lebensweise sind wichtig für die Gesundheit. Echt Bio Haferflocken feinblättrig, aus kontrolliert biologischer Landwirtschaft Enthält Gluten. Kann Spuren von Sesam, Soja und Lupinen enthalten.",400g,oat,,False,,True,,False,,,,False,,A,,med,
4066447175790,Gold Hirse,"DmBio, dm",Bio Goldhirse 100%,800g,,,False,,True,,False,,,,True,,B,,med,
20450656,Chicken Flavour Instant Noodles,Just Essentials by ASDA,"noodles (92%) [wheat flour, palm oil, lodised salt [sodium chloride, potassium iodate], sugar, stabiliser (guar gum), garlic powder] chicken flavour seasoning (8%) [flavouring lodised salt (sodium chloride, potassium fodatel sugar, yeast extract, maltodextrin, onion power turmeric, spring onions, ginger powder, carrots, soned oil (palm oil, ginger extract, onion extract, w pepper extract, turmeric extract, cumin extract] garlic powder white pepper]",65,,,False,,False,,False,,noodles,,False,,C,,low,
3421557111044,Corn flakes nature,Grillon d'Or,Maïs,500 g,,,False,,True,,False,,,,False,,B,,med,
3270160697861,Paëlla à la Valenciana,Picard,"Riz jaune cuit 49,3% (eau, riz, curcuma), morceau de poulet cuit rôti traité en salaison [filet ou aiguillette de poulet 5,9% (origine : UE), eau, dextrose, sel], _colin_ d'Alaska qualité sans arête (_poissons_) 6%, _crevette_ décortiquée salée 5% (_crevette_ (_crustacés_), sel), anneau de _calmar_ (_mollusques_) 5%, petit pois 5%, tomate, oignon, poivron rouge 4%, chorizo 4% (viande de porc (origine : UE), gras de porc, sel, piment, dextrose, épices et extraits d'épices, ferments _lactiques_, conservateur : nitrite de sodium, antioxydant : ascorbate de sodium), arôme naturel (contient : _crustacés_ et _mollusques_), huile de tournesol, huile d'olive vierge extra, sel",900 g,,,False,,False,,False,,,,False,,B,,med,
5060084572607,Creamy & Enriched Oat Milk,Glebe Farm,"Water, Gluten Free Oats (11%), Sunflower Oil, Tricalcium Phosphate, Acidity regulator (Dipotassium Phosphate), Salt, Vitamins (Folic Acid, B12, B2, D)",1l,oat,,False,,False,,True,,,,True,,D,,low,
4251725801052,Seitan mix,Veganz,Wheat gluten,250 g,,,False,,False,,False,,,,True,,B,,high,
3038359003417,Riz basmati imperial,Taureau Ailé,Riz Basmati long grain Naturellement parfumé,500 g,rice,,False,,,,,,,,,,B,,med,
7610227642568,Bio Gnocchi,Hilcona,"Wasser, _Hartweizengriess_ 16%, Kartoffelflocken 9% (Kartoffeln, Rosmarinextrakt), _Weizenstärke_ 8%, Maismehl, Rapsöl, _Eier_ 2 %, Speisesalz, Gewürz",300 g,,,False,,True,,False,,,,False,,C,,low,
3760154260688,Farine de Riz,Nature & Cie,Farine de riz,500 g,,,False,,True,,True,,,,False,,A,,med,
4316268490382,Fettarmer Joghurt 4-Korn - Erdbeer-Rhabarber,Gutes Land,"Fettarmer Joghurt mild, Zucker, Wasser, 2,8 % Rhabarber, 2 % Erdbeeren, 1,2 % Hafer, 1,2 % Gerste, 0,8 % Erdbeersaft aus Erdbeersaftkonzentrat, 0,4 % Roggen, modifizierte Stärke, 0,2 % Weizen, 0,2 % Leinsamen, 0,2 % Weizenkleie, natürliches Aroma, färbendes Lebensmittel: Rote Betesaftkonzentrat, Karottensaftkonzentrat; Säureregulator: Citronensäure.  Das Produkt kann Spuren von Schalenfrüchten enthalten.",250 g,,,False,,False,,False,,,,False,,C,,low,
