lang,attr,n_total,n_covered,coverage,accuracy,macro_f1
de,beverage_type,3,0,0.0,,
de,sugar_class,3,0,0.0,,
de,is_organic,3,1,0.3333333333333333,1.0,1.0
de,is_no_added_sugar,3,3,1.0,1.0,1.0
de,nutri_score_grade,3,0,0.0,,
de,nova_group,3,0,0.0,,
de,protein_class,3,0,0.0,,
en,beverage_type,14,9,0.6428571428571429,1.0,1.0
en,sugar_class,14,3,0.21428571428571427,1.0,1.0
en,is_organic,14,13,0.9285714285714286,1.0,1.0
en,is_no_added_sugar,14,14,1.0,0.9285714285714286,0.48148148148148145
en,nutri_score_grade,14,4,0.2857142857142857,1.0,1.0
en,nova_group,14,0,0.0,,
en,protein_class,14,0,0.0,,
es,beverage_type,19,10,0.5263157894736842,1.0,1.0
es,sugar_class,19,7,0.3684210526315789,0.8571428571428571,0.6363636363636364
es,is_organic,19,14,0.7368421052631579,0.9285714285714286,0.8133333333333332
es,is_no_added_sugar,19,18,0.9473684210526315,1.0,1.0
es,nutri_score_grade,19,4,0.21052631578947367,1.0,1.0
es,nova_group,19,0,0.0,,
es,protein_class,19,0,0.0,,
fr,beverage_type,112,84,0.75,0.9404761904761905,0.9411754911754912
fr,sugar_class,112,36,0.32142857142857145,0.8888888888888888,0.8716577540106953
fr,is_organic,112,97,0.8660714285714286,0.8762886597938144,0.8622159090909092
fr,is_no_added_sugar,112,104,0.9285714285714286,0.9711538461538461,0.6926108374384237
fr,nutri_score_grade,112,23,0.20535714285714285,0.782608695652174,0.6433333333333333
fr,nova_group,112,0,0.0,,
fr,protein_class,112,0,0.0,,
it,beverage_type,7,3,0.42857142857142855,0.6666666666666666,0.3333333333333333
it,sugar_class,7,1,0.14285714285714285,1.0,1.0
it,is_organic,7,6,0.8571428571428571,1.0,1.0
it,is_no_added_sugar,7,7,1.0,0.7142857142857143,0.4166666666666667
it,nutri_score_grade,7,2,0.2857142857142857,0.0,0.0
it,nova_group,7,0,0.0,,
it,protein_class,7,0,0.0,,
nl,beverage_type,1,1,1.0,0.0,0.0
nl,sugar_class,1,1,1.0,0.0,0.0
nl,is_organic,1,1,1.0,0.0,0.0
nl,is_no_added_sugar,1,1,1.0,1.0,1.0
nl,nutri_score_grade,1,0,0.0,,
nl,nova_group,1,0,0.0,,
nl,protein_class,1,0,0.0,,
other,beverage_type,32,23,0.71875,0.9565217391304348,0.9268817204301076
other,sugar_class,32,11,0.34375,0.7272727272727273,0.6666666666666666
other,is_organic,32,29,0.90625,1.0,1.0
other,is_no_added_sugar,32,29,0.90625,0.9310344827586207,0.48214285714285715
other,nutri_score_grade,32,10,0.3125,0.9,0.7222222222222222
other,nova_group,32,0,0.0,,
other,protein_class,32,0,0.0,,
pt,beverage_type,12,7,0.5833333333333334,1.0,1.0
pt,sugar_class,12,4,0.3333333333333333,1.0,1.0
pt,is_organic,12,12,1.0,0.9166666666666666,0.8095238095238095
pt,is_no_added_sugar,12,12,1.0,0.9166666666666666,0.4782608695652174
pt,nutri_score_grade,12,5,0.4166666666666667,0.6,0.3666666666666667
pt,nova_group,12,0,0.0,,
pt,protein_class,12,0,0.0,,
