lang,attr,n_total,n_covered,coverage,accuracy,macro_f1
de,beverage_type,45,28,0.6222222222222222,0.9642857142857143,0.9365079365079365
de,sugar_class,45,9,0.2,0.8888888888888888,0.7272727272727273
de,is_organic,45,40,0.8888888888888888,0.95,0.9134199134199135
de,is_carbonated,45,32,0.7111111111111111,0.96875,0.9564625850340136
de,nutri_score_grade,45,15,0.3333333333333333,0.7333333333333333,0.5800000000000001
de,nova_group,45,36,0.8,0.9166666666666666,0.9114687100893998
de,protein_class,45,7,0.15555555555555556,1.0,1.0
de,is_vegan,45,27,0.6,0.5925925925925926,0.5834502103786816
en,beverage_type,52,26,0.5,0.8846153846153846,0.9142857142857144
en,sugar_class,52,10,0.19230769230769232,0.9,0.9365079365079365
en,is_organic,52,48,0.9230769230769231,0.9791666666666666,0.49473684210526314
en,is_carbonated,52,44,0.8461538461538461,0.9090909090909091,0.7743589743589743
en,nutri_score_grade,52,17,0.3269230769230769,0.7647058823529411,0.820879120879121
en,nova_group,52,32,0.6153846153846154,0.90625,0.9015873015873015
en,protein_class,52,21,0.40384615384615385,0.9047619047619048,0.6190476190476191
en,is_vegan,52,22,0.4230769230769231,0.7727272727272727,0.7471264367816092
es,beverage_type,53,31,0.5849056603773585,0.8387096774193549,0.790079365079365
es,sugar_class,53,14,0.2641509433962264,0.35714285714285715,0.22527472527472528
es,is_organic,53,52,0.9811320754716981,0.9423076923076923,0.8175438596491228
es,is_carbonated,53,50,0.9433962264150944,0.92,0.8338870431893688
es,nutri_score_grade,53,15,0.2830188679245283,0.9333333333333333,0.956043956043956
es,nova_group,53,40,0.7547169811320755,0.95,0.9060200668896322
es,protein_class,53,18,0.33962264150943394,0.9444444444444444,0.6363636363636364
es,is_vegan,53,36,0.6792452830188679,0.8055555555555556,0.8041958041958042
fr,beverage_type,51,24,0.47058823529411764,0.9583333333333334,0.9492063492063492
fr,sugar_class,51,19,0.37254901960784315,0.8421052631578947,0.780952380952381
fr,is_organic,51,39,0.7647058823529411,0.9743589743589743,0.9725545390570021
fr,is_carbonated,51,44,0.8627450980392157,1.0,1.0
fr,nutri_score_grade,51,17,0.3333333333333333,0.7058823529411765,0.6638461538461538
fr,nova_group,51,31,0.6078431372549019,0.9354838709677419,0.934141414141414
fr,protein_class,51,23,0.45098039215686275,1.0,1.0
fr,is_vegan,51,22,0.43137254901960786,0.7272727272727273,0.7272727272727273
it,beverage_type,47,21,0.44680851063829785,0.9047619047619048,0.7817460317460317
it,sugar_class,47,13,0.2765957446808511,0.8461538461538461,0.6022727272727273
it,is_organic,47,44,0.9361702127659575,0.9545454545454546,0.8625
it,is_carbonated,47,33,0.7021276595744681,0.9696969696969697,0.49230769230769234
it,nutri_score_grade,47,18,0.3829787234042553,0.8333333333333334,0.6654545454545454
it,nova_group,47,32,0.6808510638297872,0.8125,0.7738636363636363
it,protein_class,47,16,0.3404255319148936,1.0,1.0
it,is_vegan,47,27,0.574468085106383,0.7037037037037037,0.7032967032967032
