lang,attr,n_total,n_covered,coverage,accuracy,macro_f1
de,cereal_type,43,31,0.7209302325581395,0.7741935483870968,0.8187782805429864
de,grain_type,43,24,0.5581395348837209,0.9166666666666666,0.6535087719298245
de,is_low_sugar,43,39,0.9069767441860465,0.6923076923076923,0.6538461538461539
de,is_high_fibre,43,42,0.9767441860465116,0.6666666666666666,0.505050505050505
de,nova_class,43,33,0.7674418604651163,0.7878787878787878,0.753031878031878
de,is_vegan,43,25,0.5813953488372093,0.76,0.7596153846153846
de,is_whole_grain,43,23,0.5348837209302325,0.8260869565217391,0.6973684210526316
de,is_organic,43,40,0.9302325581395349,0.925,0.9249530956848031
en,cereal_type,41,18,0.43902439024390244,0.8888888888888888,0.8994949494949495
en,grain_type,41,15,0.36585365853658536,0.8666666666666667,0.8968253968253969
en,is_low_sugar,41,36,0.8780487804878049,0.8333333333333334,0.7923076923076923
en,is_high_fibre,41,31,0.7560975609756098,0.6451612903225806,0.6198439241917503
en,nova_class,41,39,0.9512195121951219,0.8205128205128205,0.8187523071244002
en,is_vegan,41,23,0.5609756097560976,0.6086956521739131,0.5964912280701754
en,is_whole_grain,41,29,0.7073170731707317,0.6896551724137931,0.6640926640926641
en,is_organic,41,41,1.0,0.8048780487804879,0.44594594594594594
es,cereal_type,36,21,0.5833333333333334,0.8095238095238095,0.8185703185703185
es,grain_type,36,13,0.3611111111111111,0.9230769230769231,0.7222222222222222
es,is_low_sugar,36,35,0.9722222222222222,0.7142857142857143,0.5949074074074074
es,is_high_fibre,36,29,0.8055555555555556,0.7931034482758621,0.7928571428571429
es,nova_class,36,33,0.9166666666666666,0.8484848484848485,0.7723514211886305
es,is_vegan,36,16,0.4444444444444444,1.0,1.0
es,is_whole_grain,36,31,0.8611111111111112,0.9032258064516129,0.8680851063829788
es,is_organic,36,34,0.9444444444444444,0.9705882352941176,0.935969868173258
fr,cereal_type,34,27,0.7941176470588235,0.9629629629629629,0.9752941176470589
fr,grain_type,34,21,0.6176470588235294,1.0,1.0
fr,is_low_sugar,34,34,1.0,0.9117647058823529,0.9110723626852659
fr,is_high_fibre,34,32,0.9411764705882353,0.90625,0.7593984962406015
fr,nova_class,34,34,1.0,0.8823529411764706,0.8853801169590643
fr,is_vegan,34,21,0.6176470588235294,0.6666666666666666,0.6636155606407322
fr,is_whole_grain,34,27,0.7941176470588235,0.8518518518518519,0.8223684210526316
fr,is_organic,34,33,0.9705882352941176,0.8787878787878788,0.8636363636363636
it,cereal_type,44,27,0.6136363636363636,0.9629629629629629,0.9622222222222222
it,grain_type,44,24,0.5454545454545454,1.0,1.0
it,is_low_sugar,44,43,0.9772727272727273,0.7674418604651163,0.7440476190476191
it,is_high_fibre,44,42,0.9545454545454546,0.8571428571428571,0.803125
it,nova_class,44,36,0.8181818181818182,0.7222222222222222,0.7307692307692308
it,is_vegan,44,25,0.5681818181818182,0.64,0.6179966044142615
it,is_whole_grain,44,41,0.9318181818181818,0.8536585365853658,0.8535714285714285
it,is_organic,44,42,0.9545454545454546,0.8095238095238095,0.8055555555555556
