lang,attr,n_total,n_covered,coverage,accuracy,macro_f1
de,chocolate_type,11,2,0.18181818181818182,1.0,1.0
de,cocoa_percentage,11,3,0.2727272727272727,0.3333333333333333,0.25
de,contains_nuts,11,11,1.0,0.8181818181818182,0.8035714285714286
de,palm_oil_status,11,9,0.8181818181818182,1.0,1.0
de,is_organic,11,8,0.7272727272727273,1.0,1.0
de,nutri_score_grade,11,11,1.0,0.9090909090909091,0.8070175438596491
de,protein_class,11,0,0.0,,
en,chocolate_type,14,5,0.35714285714285715,1.0,1.0
en,cocoa_percentage,14,6,0.42857142857142855,0.3333333333333333,0.5
en,contains_nuts,14,12,0.8571428571428571,0.6666666666666666,0.6666666666666666
en,palm_oil_status,14,10,0.7142857142857143,1.0,1.0
en,is_organic,14,12,0.8571428571428571,0.8333333333333334,0.7
en,nutri_score_grade,14,12,0.8571428571428571,0.75,0.42857142857142855
en,protein_class,14,0,0.0,,
es,chocolate_type,38,21,0.5526315789473685,1.0,1.0
es,cocoa_percentage,38,17,0.4473684210526316,0.5294117647058824,0.37384615384615383
es,contains_nuts,38,36,0.9473684210526315,0.7222222222222222,0.6727272727272727
es,palm_oil_status,38,25,0.6578947368421053,1.0,1.0
es,is_organic,38,37,0.9736842105263158,1.0,1.0
es,nutri_score_grade,38,29,0.7631578947368421,0.7241379310344828,0.27999999999999997
es,protein_class,38,0,0.0,,
fr,chocolate_type,118,79,0.6694915254237288,0.9746835443037974,0.6470588235294118
fr,cocoa_percentage,118,40,0.3389830508474576,0.6,0.5520479520479521
fr,contains_nuts,118,103,0.8728813559322034,0.7475728155339806,0.7469765684051399
fr,palm_oil_status,118,99,0.8389830508474576,0.9797979797979798,0.8697368421052631
fr,is_organic,118,104,0.8813559322033898,0.8942307692307693,0.8913270637408568
fr,nutri_score_grade,118,110,0.9322033898305084,0.8909090909090909,0.4993814432989691
fr,protein_class,118,0,0.0,,
it,chocolate_type,3,1,0.3333333333333333,1.0,1.0
it,cocoa_percentage,3,1,0.3333333333333333,0.0,0.0
it,contains_nuts,3,3,1.0,1.0,1.0
it,palm_oil_status,3,3,1.0,1.0,1.0
it,is_organic,3,2,0.6666666666666666,1.0,1.0
it,nutri_score_grade,3,3,1.0,1.0,1.0
it,protein_class,3,0,0.0,,
other,chocolate_type,10,3,0.3,1.0,1.0
other,cocoa_percentage,10,2,0.2,0.5,0.3333333333333333
other,contains_nuts,10,9,0.9,0.7777777777777778,0.775
other,palm_oil_status,10,6,0.6,1.0,1.0
other,is_organic,10,10,1.0,1.0,1.0
other,nutri_score_grade,10,10,1.0,1.0,1.0
other,protein_class,10,0,0.0,,
pt,chocolate_type,6,2,0.3333333333333333,1.0,1.0
pt,cocoa_percentage,6,4,0.6666666666666666,0.75,0.5555555555555555
pt,contains_nuts,6,6,1.0,0.8333333333333334,0.7777777777777777
pt,palm_oil_status,6,3,0.5,1.0,1.0
pt,is_organic,6,4,0.6666666666666666,1.0,1.0
pt,nutri_score_grade,6,6,1.0,1.0,1.0
pt,protein_class,6,0,0.0,,
