lang,attr,n_total,n_covered,coverage,accuracy,macro_f1
de,chocolate_type,45,27,0.6,0.8148148148148148,0.5523809523809523
de,cocoa_percentage,45,2,0.044444444444444446,0.5,0.3333333333333333
de,contains_nuts,45,45,1.0,0.8444444444444444,0.7826086956521738
de,chocolate_extra,45,18,0.4,0.7777777777777778,0.5380952380952382
de,is_organic,45,42,0.9333333333333333,0.8571428571428571,0.81524926686217
de,nutri_score_grade,45,35,0.7777777777777778,1.0,1.0
de,protein_class,45,45,1.0,0.8888888888888888,0.3137254901960784
en,chocolate_type,54,36,0.6666666666666666,0.8888888888888888,0.46464646464646464
en,cocoa_percentage,54,3,0.05555555555555555,1.0,1.0
en,contains_nuts,54,54,1.0,0.7777777777777778,0.7617647058823529
en,chocolate_extra,54,25,0.46296296296296297,0.84,0.4876436781609195
en,is_organic,54,51,0.9444444444444444,0.9215686274509803,0.8344155844155845
en,nutri_score_grade,54,38,0.7037037037037037,0.9736842105263158,0.49333333333333335
en,protein_class,54,45,0.8333333333333334,0.8,0.2770745428973277
es,chocolate_type,51,42,0.8235294117647058,0.9761904761904762,0.9786625032526671
es,cocoa_percentage,51,9,0.17647058823529413,0.2222222222222222,0.14814814814814814
es,contains_nuts,51,51,1.0,0.9803921568627451,0.49504950495049505
es,chocolate_extra,51,33,0.6470588235294118,0.9393939393939394,0.8166666666666667
es,is_organic,51,44,0.8627450980392157,0.9090909090909091,0.8952380952380952
es,nutri_score_grade,51,17,0.3333333333333333,0.8823529411764706,0.7976190476190477
es,protein_class,51,34,0.6666666666666666,0.9117647058823529,0.6761904761904762
fr,chocolate_type,52,41,0.7884615384615384,0.926829268292683,0.6222222222222222
fr,cocoa_percentage,52,3,0.057692307692307696,0.3333333333333333,0.25
fr,contains_nuts,52,52,1.0,0.7692307692307693,0.6923076923076923
fr,chocolate_extra,52,19,0.36538461538461536,0.7894736842105263,0.6057692307692308
fr,is_organic,52,49,0.9423076923076923,0.8775510204081632,0.8607954545454546
fr,nutri_score_grade,52,33,0.6346153846153846,0.8787878787878788,0.46774193548387094
fr,protein_class,52,48,0.9230769230769231,0.875,0.4666666666666667
it,chocolate_type,46,36,0.782608695652174,0.9444444444444444,0.626797385620915
it,cocoa_percentage,46,8,0.17391304347826086,0.25,0.1625
it,contains_nuts,46,46,1.0,0.7608695652173914,0.681159420289855
it,chocolate_extra,46,29,0.6304347826086957,0.8275862068965517,0.5333333333333333
it,is_organic,46,39,0.8478260869565217,0.8717948717948718,0.6859903381642511
it,nutri_score_grade,46,24,0.5217391304347826,0.875,0.4666666666666667
it,protein_class,46,45,0.9782608695652174,0.8666666666666667,0.30952380952380953
