lang,attr,n_total,n_covered,coverage,accuracy,macro_f1
de,product_type,49,5,0.10204081632653061,1.0,1.0
de,form_factor,49,9,0.1836734693877551,1.0,1.0
de,body_area,49,15,0.30612244897959184,0.8666666666666667,0.6666666666666666
de,has_sulfates,49,18,0.3673469387755102,0.8888888888888888,0.47058823529411764
de,has_silicones,49,17,0.3469387755102041,1.0,1.0
de,is_organic,49,48,0.9795918367346939,0.9791666666666666,0.8279569892473118
en,product_type,46,16,0.34782608695652173,0.9375,0.9481481481481482
en,form_factor,46,19,0.41304347826086957,1.0,1.0
en,body_area,46,21,0.45652173913043476,1.0,1.0
en,has_sulfates,46,43,0.9347826086956522,0.813953488372093,0.7688172043010753
en,has_silicones,46,44,0.9565217391304348,0.8863636363636364,0.690576652601969
en,is_organic,46,45,0.9782608695652174,0.9111111111111111,0.47674418604651164
es,product_type,42,7,0.16666666666666666,1.0,1.0
es,form_factor,42,4,0.09523809523809523,1.0,1.0
es,body_area,42,6,0.14285714285714285,0.8333333333333334,0.8666666666666667
es,has_sulfates,42,9,0.21428571428571427,1.0,1.0
es,has_silicones,42,10,0.23809523809523808,1.0,1.0
es,is_organic,42,42,1.0,0.9523809523809523,0.4878048780487805
fr,product_type,48,11,0.22916666666666666,1.0,1.0
fr,form_factor,48,20,0.4166666666666667,0.95,0.9416282642089094
fr,body_area,48,31,0.6458333333333334,0.8064516129032258,0.5287581699346404
fr,has_sulfates,48,39,0.8125,0.8717948717948718,0.7354138398914518
fr,has_silicones,48,35,0.7291666666666666,0.9714285714285714,0.4927536231884058
fr,is_organic,48,46,0.9583333333333334,0.782608695652174,0.43902439024390244
it,product_type,38,22,0.5789473684210527,1.0,1.0
it,form_factor,38,10,0.2631578947368421,0.9,0.47368421052631576
it,body_area,38,29,0.7631578947368421,0.9655172413793104,0.8509316770186335
it,has_sulfates,38,34,0.8947368421052632,0.8823529411764706,0.7976190476190477
it,has_silicones,38,35,0.9210526315789473,1.0,1.0
it,is_organic,38,38,1.0,0.9473684210526315,0.819047619047619
