lang,attr,n_total,n_covered,coverage,accuracy,macro_f1
de,grain_type,12,7,0.5833333333333334,0.8571428571428571,0.8666666666666667
de,pasta_shape,12,1,0.08333333333333333,1.0,1.0
de,is_whole_grain,12,11,0.9166666666666666,0.8181818181818182,0.45
de,is_organic,12,10,0.8333333333333334,0.9,0.8901098901098901
de,is_gluten_free,12,12,1.0,1.0,1.0
de,is_vegan,12,10,0.8333333333333334,0.7,0.4117647058823529
de,nutri_score_grade,12,9,0.75,0.7777777777777778,0.4365079365079365
de,protein_class,12,11,0.9166666666666666,0.7272727272727273,0.45
en,grain_type,9,6,0.6666666666666666,0.8333333333333334,0.7
en,pasta_shape,9,0,0.0,,
en,is_whole_grain,9,8,0.8888888888888888,1.0,1.0
en,is_organic,9,8,0.8888888888888888,0.75,0.6666666666666667
en,is_gluten_free,9,9,1.0,0.8888888888888888,0.47058823529411764
en,is_vegan,9,9,1.0,0.5555555555555556,0.5
en,nutri_score_grade,9,6,0.6666666666666666,0.5,0.41666666666666663
en,protein_class,9,5,0.5555555555555556,0.8,0.7619047619047619
es,grain_type,25,18,0.72,0.8333333333333334,0.7650793650793651
es,pasta_shape,25,0,0.0,,
es,is_whole_grain,25,24,0.96,0.5833333333333334,0.3684210526315789
es,is_organic,25,23,0.92,0.8695652173913043,0.8600405679513184
es,is_gluten_free,25,25,1.0,0.76,0.6710526315789473
es,is_vegan,25,20,0.8,0.95,0.9466666666666667
es,nutri_score_grade,25,10,0.4,0.5,0.44761904761904764
es,protein_class,25,13,0.52,0.7692307692307693,0.5473684210526316
fr,grain_type,140,123,0.8785714285714286,0.8699186991869918,0.680039340660144
fr,pasta_shape,140,19,0.1357142857142857,0.9473684210526315,0.6666666666666666
fr,is_whole_grain,140,133,0.95,0.8421052631578947,0.45714285714285713
fr,is_organic,140,124,0.8857142857142857,0.9354838709677419,0.9217171717171717
fr,is_gluten_free,140,136,0.9714285714285714,0.9117647058823529,0.5481727574750831
fr,is_vegan,140,131,0.9357142857142857,0.9389312977099237,0.5841269841269842
fr,nutri_score_grade,140,83,0.5928571428571429,0.6506024096385542,0.4314176245210728
fr,protein_class,140,109,0.7785714285714286,0.8532110091743119,0.598440065681445
it,grain_type,3,1,0.3333333333333333,1.0,1.0
it,pasta_shape,3,0,0.0,,
it,is_whole_grain,3,3,1.0,0.6666666666666666,0.4
it,is_organic,3,2,0.6666666666666666,0.5,0.3333333333333333
it,is_gluten_free,3,3,1.0,1.0,1.0
it,is_vegan,3,2,0.6666666666666666,0.5,0.3333333333333333
it,nutri_score_grade,3,2,0.6666666666666666,0.5,0.3333333333333333
it,protein_class,3,2,0.6666666666666666,1.0,1.0
other,grain_type,5,2,0.4,0.5,0.3333333333333333
other,pasta_shape,5,0,0.0,,
other,is_whole_grain,5,5,1.0,1.0,1.0
other,is_organic,5,4,0.8,1.0,1.0
other,is_gluten_free,5,4,0.8,0.75,0.42857142857142855
other,is_vegan,5,4,0.8,1.0,1.0
other,nutri_score_grade,5,2,0.4,0.5,0.3333333333333333
other,protein_class,5,2,0.4,1.0,1.0
pt,grain_type,6,1,0.16666666666666666,0.0,0.0
pt,pasta_shape,6,0,0.0,,
pt,is_whole_grain,6,6,1.0,0.8333333333333334,0.45454545454545453
pt,is_organic,6,5,0.8333333333333334,1.0,1.0
pt,is_gluten_free,6,6,1.0,0.8333333333333334,0.45454545454545453
pt,is_vegan,6,2,0.3333333333333333,1.0,1.0
pt,nutri_score_grade,6,2,0.3333333333333333,0.5,0.3333333333333333
pt,protein_class,6,3,0.5,0.6666666666666666,0.4
