lang,attr,n_total,n_covered,coverage,accuracy,macro_f1
de,grain_type,47,20,0.425531914893617,0.95,0.48717948717948717
de,pasta_shape,47,19,0.40425531914893614,0.9473684210526315,0.6571428571428571
de,is_filled,47,44,0.9361702127659575,0.9545454545454546,0.8211382113821137
de,is_organic,47,45,0.9574468085106383,0.8222222222222222,0.7836538461538461
de,is_gluten_free,47,47,1.0,0.9574468085106383,0.4891304347826087
de,is_vegan,47,44,0.9361702127659575,0.8863636363636364,0.8858329008822003
de,nutri_score_grade,47,29,0.6170212765957447,0.9310344827586207,0.6527777777777778
de,protein_class,47,46,0.9787234042553191,0.8478260869565217,0.5260196905766525
en,grain_type,61,26,0.4262295081967213,0.8846153846153846,0.6680851063829787
en,pasta_shape,61,24,0.39344262295081966,0.9583333333333334,0.8222222222222222
en,is_filled,61,57,0.9344262295081968,1.0,1.0
en,is_organic,61,55,0.9016393442622951,0.9272727272727272,0.78
en,is_gluten_free,61,61,1.0,0.8852459016393442,0.6502866502866502
en,is_vegan,61,38,0.6229508196721312,0.8157894736842105,0.8093189964157705
en,nutri_score_grade,61,23,0.3770491803278688,0.8695652173913043,0.4041666666666667
en,protein_class,61,47,0.7704918032786885,0.723404255319149,0.43083534783776517
es,grain_type,49,29,0.5918367346938775,0.9655172413793104,0.8905660377358491
es,pasta_shape,49,6,0.12244897959183673,1.0,1.0
es,is_filled,49,46,0.9387755102040817,0.9565217391304348,0.8630952380952381
es,is_organic,49,48,0.9795918367346939,0.8958333333333334,0.4725274725274725
es,is_gluten_free,49,48,0.9795918367346939,0.8541666666666666,0.6406417112299465
es,is_vegan,49,29,0.5918367346938775,0.8620689655172413,0.857843137254902
es,nutri_score_grade,49,20,0.40816326530612246,0.8,0.6274509803921569
es,protein_class,49,41,0.8367346938775511,0.9024390243902439,0.44912280701754387
fr,grain_type,51,41,0.803921568627451,1.0,1.0
fr,pasta_shape,51,8,0.1568627450980392,1.0,1.0
fr,is_filled,51,44,0.8627450980392157,1.0,1.0
fr,is_organic,51,47,0.9215686274509803,0.9787234042553191,0.9759344598054276
fr,is_gluten_free,51,50,0.9803921568627451,1.0,1.0
fr,is_vegan,51,48,0.9411764705882353,0.8541666666666666,0.8332506203473946
fr,nutri_score_grade,51,29,0.5686274509803921,0.8620689655172413,0.572463768115942
fr,protein_class,51,44,0.8627450980392157,0.8636363636363636,0.5299145299145299
it,grain_type,42,33,0.7857142857142857,0.9696969696969697,0.49230769230769234
it,pasta_shape,42,5,0.11904761904761904,0.8,0.4444444444444444
it,is_filled,42,39,0.9285714285714286,0.9743589743589743,0.9470827679782903
it,is_organic,42,40,0.9523809523809523,0.95,0.8198198198198199
it,is_gluten_free,42,42,1.0,0.9523809523809523,0.4878048780487805
it,is_vegan,42,31,0.7380952380952381,0.967741935483871,0.9664864864864865
it,nutri_score_grade,42,27,0.6428571428571429,0.9629629629629629,0.6598639455782312
it,protein_class,42,40,0.9523809523809523,0.875,0.532724505327245
